"Vendor","Rohde&Schwarz",
"Device/Mat.-No.","RTB2004 / 1333.1005k04",
"Serial No.","110244",
"Firmware Version","02.300",
"Date","2023-01-26",
"Time","13:05:42",
"Comment","",

"Meas. Place",,"1",,
"Type",,"Rise Time",,
"Source 1",,"C1",,
"Source 2",,,,
"Unit",,s,,
"Upper Level [%]",,9.000000e+01,,
"Middle Level [%]",,5.000000e+01,,
"Lower Level [%]",,1.000000e+01,,
"Wave count",,1440,,
"Current",,9.597200e-06,,
"Average No.",,1.000000e+03,,
"Min",,9.354800e-06,,
"Max",,9.930000e-06,,
"Mean",,9.652759e-06,,
"StdDev",,1.048832e-07,,
"Time of first value",,,,
"Time of last value",,,,
"Long term Min",,9.324000e-06,,
"Long term Max",,9.930000e-06,,
"Long term Mean",,9.652254e-06,,
"Long term StdDev",,1.049460e-07,,
"Long term start time",,,,
"Long term end Time",,,,


"Index","Time Offset","Value",
228,,9.539600e-06,
229,,9.731600e-06,
230,,9.565600e-06,
231,,9.608400e-06,
232,,9.700400e-06,
233,,9.608000e-06,
234,,9.632800e-06,
235,,9.569600e-06,
236,,9.776400e-06,
237,,9.646400e-06,
238,,9.714800e-06,
239,,9.541600e-06,
240,,9.800400e-06,
241,,9.682000e-06,
242,,9.692000e-06,
243,,9.671600e-06,
244,,9.733600e-06,
245,,9.526400e-06,
246,,9.666400e-06,
247,,9.539600e-06,
248,,9.632400e-06,
249,,9.736400e-06,
250,,9.616400e-06,
251,,9.686000e-06,
252,,9.698000e-06,
253,,9.648000e-06,
254,,9.668000e-06,
255,,9.809200e-06,
256,,9.768800e-06,
257,,9.710000e-06,
258,,9.463600e-06,
259,,9.747600e-06,
260,,9.650800e-06,
261,,9.721600e-06,
262,,9.712000e-06,
263,,9.764000e-06,
264,,9.636400e-06,
265,,9.722400e-06,
266,,9.795200e-06,
267,,9.566000e-06,
268,,9.522800e-06,
269,,9.772000e-06,
270,,9.739600e-06,
271,,9.727200e-06,
272,,9.614800e-06,
273,,9.604400e-06,
274,,9.663200e-06,
275,,9.706800e-06,
276,,9.615600e-06,
277,,9.684400e-06,
278,,9.644000e-06,
279,,9.589600e-06,
280,,9.533200e-06,
281,,9.815600e-06,
282,,9.681600e-06,
283,,9.778000e-06,
284,,9.609600e-06,
285,,9.649200e-06,
286,,9.574400e-06,
287,,9.578000e-06,
288,,9.560800e-06,
289,,9.832400e-06,
290,,9.500000e-06,
291,,9.725600e-06,
292,,9.788400e-06,
293,,9.692400e-06,
294,,9.728800e-06,
295,,9.629600e-06,
296,,9.548800e-06,
297,,9.811200e-06,
298,,9.580800e-06,
299,,9.751200e-06,
300,,9.788800e-06,
301,,9.882800e-06,
302,,9.748800e-06,
303,,9.676400e-06,
304,,9.678400e-06,
305,,9.718400e-06,
306,,9.787600e-06,
307,,9.659600e-06,
308,,9.669600e-06,
309,,9.532400e-06,
310,,9.713200e-06,
311,,9.793600e-06,
312,,9.800400e-06,
313,,9.688000e-06,
314,,9.542000e-06,
315,,9.646400e-06,
316,,9.694400e-06,
317,,9.782800e-06,
318,,9.720800e-06,
319,,9.706800e-06,
320,,9.595600e-06,
321,,9.620000e-06,
322,,9.618000e-06,
323,,9.848800e-06,
324,,9.726800e-06,
325,,9.612000e-06,
326,,9.535600e-06,
327,,9.741200e-06,
328,,9.753600e-06,
329,,9.690800e-06,
330,,9.555600e-06,
331,,9.656000e-06,
332,,9.630000e-06,
333,,9.678400e-06,
334,,9.563600e-06,
335,,9.578800e-06,
336,,9.777200e-06,
337,,9.726800e-06,
338,,9.536000e-06,
339,,9.550000e-06,
340,,9.647600e-06,
341,,9.635600e-06,
342,,9.645200e-06,
343,,9.629600e-06,
344,,9.683200e-06,
345,,9.687200e-06,
346,,9.825600e-06,
347,,9.610000e-06,
348,,9.538400e-06,
349,,9.540400e-06,
350,,9.581200e-06,
351,,9.790400e-06,
352,,9.582400e-06,
353,,9.657200e-06,
354,,9.734000e-06,
355,,9.757200e-06,
356,,9.593200e-06,
357,,9.754000e-06,
358,,9.640800e-06,
359,,9.563600e-06,
360,,9.517600e-06,
361,,9.573600e-06,
362,,9.772000e-06,
363,,9.689200e-06,
364,,9.443200e-06,
365,,9.680800e-06,
366,,9.710400e-06,
367,,9.590000e-06,
368,,9.469600e-06,
369,,9.836800e-06,
370,,9.832000e-06,
371,,9.595600e-06,
372,,9.730800e-06,
373,,9.767200e-06,
374,,9.693600e-06,
375,,9.479200e-06,
376,,9.774400e-06,
377,,9.748000e-06,
378,,9.855200e-06,
379,,9.715600e-06,
380,,9.510000e-06,
381,,9.597200e-06,
382,,9.642400e-06,
383,,9.602000e-06,
384,,9.823600e-06,
385,,9.704000e-06,
386,,9.403200e-06,
387,,9.716000e-06,
388,,9.752000e-06,
389,,9.510800e-06,
390,,9.552400e-06,
391,,9.570400e-06,
392,,9.477200e-06,
393,,9.640400e-06,
394,,9.606800e-06,
395,,9.818400e-06,
396,,9.790000e-06,
397,,9.564400e-06,
398,,9.726000e-06,
399,,9.589200e-06,
400,,9.577600e-06,
401,,9.758800e-06,
402,,9.585200e-06,
403,,9.646800e-06,
404,,9.450400e-06,
405,,9.635600e-06,
406,,9.571200e-06,
407,,9.449200e-06,
408,,9.550000e-06,
409,,9.714000e-06,
410,,9.740800e-06,
411,,9.704000e-06,
412,,9.741200e-06,
413,,9.796800e-06,
414,,9.792400e-06,
415,,9.690000e-06,
416,,9.634800e-06,
417,,9.618000e-06,
418,,9.522800e-06,
419,,9.790800e-06,
420,,9.578400e-06,
421,,9.850800e-06,
422,,9.705600e-06,
423,,9.737600e-06,
424,,9.711200e-06,
425,,9.706000e-06,
426,,9.690400e-06,
427,,9.731200e-06,
428,,9.605200e-06,
429,,9.833600e-06,
430,,9.701200e-06,
431,,9.704800e-06,
432,,9.548000e-06,
433,,9.726000e-06,
434,,9.684000e-06,
435,,9.796400e-06,
436,,9.792000e-06,
437,,9.567600e-06,
438,,9.656000e-06,
439,,9.721200e-06,
440,,9.641200e-06,
441,,9.538000e-06,
442,,9.779600e-06,
443,,9.624800e-06,
444,,9.518400e-06,
445,,9.565200e-06,
446,,9.880800e-06,
447,,9.556400e-06,
448,,9.561600e-06,
449,,9.710400e-06,
450,,9.657600e-06,
451,,9.607600e-06,
452,,9.649600e-06,
453,,9.731200e-06,
454,,9.738000e-06,
455,,9.689200e-06,
456,,9.579600e-06,
457,,9.635200e-06,
458,,9.648400e-06,
459,,9.614400e-06,
460,,9.636000e-06,
461,,9.644800e-06,
462,,9.865600e-06,
463,,9.648000e-06,
464,,9.633200e-06,
465,,9.530800e-06,
466,,9.738800e-06,
467,,9.428800e-06,
468,,9.844400e-06,
469,,9.735200e-06,
470,,9.598800e-06,
471,,9.793200e-06,
472,,9.727600e-06,
473,,9.673600e-06,
474,,9.648800e-06,
475,,9.501200e-06,
476,,9.528000e-06,
477,,9.603200e-06,
478,,9.532400e-06,
479,,9.524000e-06,
480,,9.580800e-06,
481,,9.736000e-06,
482,,9.544000e-06,
483,,9.618800e-06,
484,,9.552800e-06,
485,,9.837600e-06,
486,,9.495600e-06,
487,,9.803200e-06,
488,,9.547200e-06,
489,,9.567200e-06,
490,,9.573600e-06,
491,,9.744000e-06,
492,,9.629200e-06,
493,,9.375600e-06,
494,,9.827200e-06,
495,,9.596400e-06,
496,,9.799600e-06,
497,,9.602800e-06,
498,,9.559600e-06,
499,,9.562400e-06,
500,,9.800000e-06,
501,,9.640800e-06,
502,,9.792800e-06,
503,,9.730400e-06,
504,,9.486800e-06,
505,,9.572800e-06,
506,,9.610800e-06,
507,,9.846000e-06,
508,,9.481600e-06,
509,,9.756000e-06,
510,,9.653200e-06,
511,,9.542400e-06,
512,,9.530800e-06,
513,,9.761600e-06,
514,,9.749600e-06,
515,,9.676000e-06,
516,,9.587600e-06,
517,,9.751200e-06,
518,,9.552000e-06,
519,,9.830800e-06,
520,,9.582800e-06,
521,,9.583600e-06,
522,,9.576000e-06,
523,,9.591200e-06,
524,,9.790000e-06,
525,,9.626400e-06,
526,,9.621200e-06,
527,,9.821200e-06,
528,,9.816800e-06,
529,,9.476000e-06,
530,,9.515600e-06,
531,,9.775200e-06,
532,,9.598000e-06,
533,,9.721600e-06,
534,,9.623200e-06,
535,,9.520800e-06,
536,,9.810000e-06,
537,,9.766800e-06,
538,,9.784800e-06,
539,,9.477600e-06,
540,,9.432800e-06,
541,,9.718800e-06,
542,,9.621600e-06,
543,,9.545600e-06,
544,,9.628800e-06,
545,,9.616400e-06,
546,,9.798400e-06,
547,,9.568400e-06,
548,,9.594800e-06,
549,,9.663600e-06,
550,,9.514400e-06,
551,,9.632800e-06,
552,,9.657200e-06,
553,,9.648400e-06,
554,,9.521600e-06,
555,,9.466800e-06,
556,,9.828000e-06,
557,,9.558000e-06,
558,,9.728800e-06,
559,,9.522800e-06,
560,,9.841200e-06,
561,,9.630800e-06,
562,,9.490000e-06,
563,,9.795200e-06,
564,,9.586800e-06,
565,,9.644400e-06,
566,,9.821600e-06,
567,,9.627600e-06,
568,,9.786800e-06,
569,,9.710000e-06,
570,,9.599600e-06,
571,,9.612000e-06,
572,,9.597600e-06,
573,,9.777600e-06,
574,,9.705200e-06,
575,,9.765600e-06,
576,,9.720400e-06,
577,,9.447200e-06,
578,,9.788800e-06,
579,,9.573600e-06,
580,,9.636000e-06,
581,,9.664400e-06,
582,,9.771600e-06,
583,,9.585600e-06,
584,,9.672000e-06,
585,,9.498800e-06,
586,,9.624400e-06,
587,,9.695600e-06,
588,,9.477600e-06,
589,,9.818400e-06,
590,,9.794800e-06,
591,,9.550400e-06,
592,,9.637600e-06,
593,,9.473200e-06,
594,,9.631200e-06,
595,,9.726000e-06,
596,,9.556400e-06,
597,,9.614000e-06,
598,,9.849600e-06,
599,,9.764400e-06,
600,,9.822400e-06,
601,,9.725600e-06,
602,,9.476000e-06,
603,,9.788400e-06,
604,,9.511200e-06,
605,,9.784800e-06,
