in s,C1 in V
-1.82400E-05,-1.97754E-02
-1.82396E-05,2.19727E-03
-1.82392E-05,-5.12695E-03
-1.82388E-05,-1.97754E-02
-1.82384E-05,-5.12695E-03
-1.82380E-05,-2.70996E-02
-1.82376E-05,2.19727E-03
-1.82372E-05,1.68457E-02
-1.82368E-05,2.19727E-03
-1.82364E-05,-5.12695E-03
-1.82360E-05,2.19727E-03
-1.82356E-05,2.19727E-03
-1.82352E-05,-1.24512E-02
-1.82348E-05,9.52148E-03
-1.82344E-05,-1.97754E-02
-1.82340E-05,-5.12695E-03
-1.82336E-05,-5.12695E-03
-1.82332E-05,9.52148E-03
-1.82328E-05,-5.12695E-03
-1.82324E-05,3.88184E-02
-1.82320E-05,-1.97754E-02
-1.82316E-05,2.19727E-03
-1.82312E-05,2.19727E-03
-1.82308E-05,9.52148E-03
-1.82304E-05,-5.12695E-03
-1.82300E-05,-5.12695E-03
-1.82296E-05,9.52148E-03
-1.82292E-05,9.52148E-03
-1.82288E-05,-5.12695E-03
-1.82284E-05,-5.12695E-03
-1.82280E-05,-1.24512E-02
-1.82276E-05,1.68457E-02
-1.82272E-05,-1.24512E-02
-1.82268E-05,-5.12695E-03
-1.82264E-05,2.19727E-03
-1.82260E-05,-5.12695E-03
-1.82256E-05,-1.24512E-02
-1.82252E-05,-5.12695E-03
-1.82248E-05,-1.24512E-02
-1.82244E-05,2.19727E-03
-1.82240E-05,9.52148E-03
-1.82236E-05,-5.12695E-03
-1.82232E-05,2.19727E-03
-1.82228E-05,-5.12695E-03
-1.82224E-05,-5.12695E-03
-1.82220E-05,-1.24512E-02
-1.82216E-05,2.19727E-03
-1.82212E-05,-5.12695E-03
-1.82208E-05,-1.97754E-02
-1.82204E-05,-1.24512E-02
-1.82200E-05,-5.12695E-03
-1.82196E-05,-2.70996E-02
-1.82192E-05,2.19727E-03
-1.82188E-05,2.41699E-02
-1.82184E-05,2.19727E-03
-1.82180E-05,2.41699E-02
-1.82176E-05,2.19727E-03
-1.82172E-05,-1.97754E-02
-1.82168E-05,-5.12695E-03
-1.82164E-05,-1.24512E-02
-1.82160E-05,-1.24512E-02
-1.82156E-05,-2.70996E-02
-1.82152E-05,-1.24512E-02
-1.82148E-05,-5.12695E-03
-1.82144E-05,-5.12695E-03
-1.82140E-05,-5.12695E-03
-1.82136E-05,-1.97754E-02
-1.82132E-05,-5.12695E-03
-1.82128E-05,1.68457E-02
-1.82124E-05,-5.12695E-03
-1.82120E-05,-1.97754E-02
-1.82116E-05,-1.24512E-02
-1.82112E-05,-5.12695E-03
-1.82108E-05,-5.12695E-03
-1.82104E-05,-5.12695E-03
-1.82100E-05,-5.12695E-03
-1.82096E-05,-5.12695E-03
-1.82092E-05,9.52148E-03
-1.82088E-05,2.19727E-03
-1.82084E-05,2.19727E-03
-1.82080E-05,-5.12695E-03
-1.82076E-05,9.52148E-03
-1.82072E-05,2.19727E-03
-1.82068E-05,2.41699E-02
-1.82064E-05,-5.12695E-03
-1.82060E-05,-5.12695E-03
-1.82056E-05,2.19727E-03
-1.82052E-05,-5.12695E-03
-1.82048E-05,2.19727E-03
-1.82044E-05,2.19727E-03
-1.82040E-05,-1.24512E-02
-1.82036E-05,2.19727E-03
-1.82032E-05,2.19727E-03
-1.82028E-05,2.19727E-03
-1.82024E-05,2.19727E-03
-1.82020E-05,-5.12695E-03
-1.82016E-05,-5.12695E-03
-1.82012E-05,-5.12695E-03
-1.82008E-05,-5.12695E-03
-1.82004E-05,-1.24512E-02
-1.82000E-05,2.19727E-03
-1.81996E-05,-5.12695E-03
-1.81992E-05,9.52148E-03
-1.81988E-05,-1.24512E-02
-1.81984E-05,9.52148E-03
-1.81980E-05,-5.12695E-03
-1.81976E-05,-5.12695E-03
-1.81972E-05,2.19727E-03
-1.81968E-05,-5.12695E-03
-1.81964E-05,9.52148E-03
-1.81960E-05,9.52148E-03
-1.81956E-05,1.68457E-02
-1.81952E-05,9.52148E-03
-1.81948E-05,2.19727E-03
-1.81944E-05,-1.24512E-02
-1.81940E-05,-5.12695E-03
-1.81936E-05,-1.24512E-02
-1.81932E-05,1.68457E-02
-1.81928E-05,2.19727E-03
-1.81924E-05,-1.24512E-02
-1.81920E-05,2.19727E-03
-1.81916E-05,-5.12695E-03
-1.81912E-05,9.52148E-03
-1.81908E-05,-2.70996E-02
-1.81904E-05,-1.97754E-02
-1.81900E-05,-1.97754E-02
-1.81896E-05,-1.24512E-02
-1.81892E-05,1.68457E-02
-1.81888E-05,-5.12695E-03
-1.81884E-05,-5.12695E-03
-1.81880E-05,-5.12695E-03
-1.81876E-05,1.68457E-02
-1.81872E-05,-1.97754E-02
-1.81868E-05,-1.97754E-02
-1.81864E-05,-1.24512E-02
-1.81860E-05,2.19727E-03
-1.81856E-05,9.52148E-03
-1.81852E-05,-5.12695E-03
-1.81848E-05,-5.12695E-03
-1.81844E-05,9.52148E-03
-1.81840E-05,-5.12695E-03
-1.81836E-05,2.19727E-03
-1.81832E-05,-1.24512E-02
-1.81828E-05,2.19727E-03
-1.81824E-05,-5.12695E-03
-1.81820E-05,1.68457E-02
-1.81816E-05,-5.12695E-03
-1.81812E-05,1.68457E-02
-1.81808E-05,-1.97754E-02
-1.81804E-05,-2.70996E-02
-1.81800E-05,-3.44238E-02
-1.81796E-05,2.19727E-03
-1.81792E-05,-5.12695E-03
-1.81788E-05,-5.12695E-03
-1.81784E-05,-5.12695E-03
-1.81780E-05,-1.97754E-02
-1.81776E-05,-1.24512E-02
-1.81772E-05,-1.24512E-02
-1.81768E-05,2.19727E-03
-1.81764E-05,2.41699E-02
-1.81760E-05,2.19727E-03
-1.81756E-05,-5.12695E-03
-1.81752E-05,-5.12695E-03
-1.81748E-05,2.19727E-03
-1.81744E-05,-5.12695E-03
-1.81740E-05,-1.24512E-02
-1.81736E-05,2.19727E-03
-1.81732E-05,-5.12695E-03
-1.81728E-05,9.52148E-03
-1.81724E-05,2.19727E-03
-1.81720E-05,-5.12695E-03
-1.81716E-05,3.14941E-02
-1.81712E-05,1.68457E-02
-1.81708E-05,-1.24512E-02
-1.81704E-05,9.52148E-03
-1.81700E-05,2.19727E-03
-1.81696E-05,-5.12695E-03
-1.81692E-05,9.52148E-03
-1.81688E-05,2.19727E-03
-1.81684E-05,2.41699E-02
-1.81680E-05,2.19727E-03
-1.81676E-05,-5.12695E-03
-1.81672E-05,1.68457E-02
-1.81668E-05,-1.24512E-02
-1.81664E-05,-1.97754E-02
-1.81660E-05,-5.12695E-03
-1.81656E-05,-2.70996E-02
-1.81652E-05,2.19727E-03
-1.81648E-05,-5.12695E-03
-1.81644E-05,-5.12695E-03
-1.81640E-05,-1.24512E-02
-1.81636E-05,-5.12695E-03
-1.81632E-05,-5.12695E-03
-1.81628E-05,-5.12695E-03
-1.81624E-05,-5.12695E-03
-1.81620E-05,-5.12695E-03
-1.81616E-05,2.19727E-03
-1.81612E-05,-4.17480E-02
-1.81608E-05,9.52148E-03
-1.81604E-05,-2.70996E-02
-1.81600E-05,1.68457E-02
-1.81596E-05,-1.24512E-02
-1.81592E-05,2.19727E-03
-1.81588E-05,9.52148E-03
-1.81584E-05,-5.12695E-03
-1.81580E-05,-5.12695E-03
-1.81576E-05,-1.24512E-02
-1.81572E-05,-5.12695E-03
-1.81568E-05,2.19727E-03
-1.81564E-05,2.19727E-03
-1.81560E-05,-5.12695E-03
-1.81556E-05,2.19727E-03
-1.81552E-05,2.19727E-03
-1.81548E-05,2.19727E-03
-1.81544E-05,-1.97754E-02
-1.81540E-05,-1.24512E-02
-1.81536E-05,2.19727E-03
-1.81532E-05,1.68457E-02
-1.81528E-05,-1.97754E-02
-1.81524E-05,1.68457E-02
-1.81520E-05,2.19727E-03
-1.81516E-05,-1.24512E-02
-1.81512E-05,9.52148E-03
-1.81508E-05,-5.12695E-03
-1.81504E-05,-5.12695E-03
-1.81500E-05,9.52148E-03
-1.81496E-05,-5.12695E-03
-1.81492E-05,9.52148E-03
-1.81488E-05,-5.12695E-03
-1.81484E-05,-1.97754E-02
