in s,C1 in V
-5.676080E-05,2.19727E-03
-5.675840E-05,-5.12695E-03
-5.675600E-05,-5.12695E-03
-5.675360E-05,2.19727E-03
-5.675120E-05,-5.12695E-03
-5.674880E-05,-1.24512E-02
-5.674640E-05,-1.24512E-02
-5.674400E-05,-1.24512E-02
-5.674160E-05,2.19727E-03
-5.673920E-05,-5.12695E-03
-5.673680E-05,-1.97754E-02
-5.673440E-05,-5.12695E-03
-5.673200E-05,-1.24512E-02
-5.672960E-05,-5.12695E-03
-5.672720E-05,-1.24512E-02
-5.672480E-05,-3.44238E-02
-5.672240E-05,-1.24512E-02
-5.672000E-05,-5.12695E-03
-5.671760E-05,-1.97754E-02
-5.671520E-05,-5.12695E-03
-5.671280E-05,-5.12695E-03
-5.671040E-05,-1.24512E-02
-5.670800E-05,-5.12695E-03
-5.670560E-05,-2.70996E-02
-5.670320E-05,-5.12695E-03
-5.670080E-05,2.19727E-03
-5.669840E-05,2.19727E-03
-5.669600E-05,-1.24512E-02
-5.669360E-05,-5.12695E-03
-5.669120E-05,-1.24512E-02
-5.668880E-05,-5.12695E-03
-5.668640E-05,2.19727E-03
-5.668400E-05,-1.24512E-02
-5.668160E-05,9.52148E-03
-5.667920E-05,-2.70996E-02
-5.667680E-05,-3.44238E-02
-5.667440E-05,9.52148E-03
-5.667200E-05,-2.70996E-02
-5.666960E-05,-1.24512E-02
-5.666720E-05,-1.24512E-02
-5.666480E-05,2.19727E-03
-5.666240E-05,1.68457E-02
-5.666000E-05,-1.97754E-02
-5.665760E-05,-2.70996E-02
-5.665520E-05,-5.12695E-03
-5.665280E-05,-5.12695E-03
-5.665040E-05,-1.24512E-02
-5.664800E-05,-5.12695E-03
-5.664560E-05,-1.24512E-02
-5.664320E-05,-1.24512E-02
-5.664080E-05,-5.12695E-03
-5.663840E-05,-1.24512E-02
-5.663600E-05,-5.12695E-03
-5.663360E-05,-5.12695E-03
-5.663120E-05,-1.24512E-02
-5.662880E-05,9.52148E-03
-5.662640E-05,-5.12695E-03
-5.662400E-05,-3.44238E-02
-5.662160E-05,-2.70996E-02
-5.661920E-05,-1.24512E-02
-5.661680E-05,-1.97754E-02
-5.661440E-05,-1.97754E-02
-5.661200E-05,-5.12695E-03
-5.660960E-05,-1.24512E-02
-5.660720E-05,-5.12695E-03
-5.660480E-05,-1.24512E-02
-5.660240E-05,-1.24512E-02
-5.660000E-05,-5.12695E-03
-5.659760E-05,9.52148E-03
-5.659520E-05,-5.12695E-03
-5.659280E-05,-1.97754E-02
-5.659040E-05,-2.70996E-02
-5.658800E-05,-1.97754E-02
-5.658560E-05,2.19727E-03
-5.658320E-05,2.19727E-03
-5.658080E-05,-1.24512E-02
-5.657840E-05,-2.70996E-02
-5.657600E-05,-5.12695E-03
-5.657360E-05,-5.12695E-03
-5.657120E-05,-1.97754E-02
-5.656880E-05,-1.97754E-02
-5.656640E-05,-5.12695E-03
-5.656400E-05,-1.97754E-02
-5.656160E-05,-5.12695E-03
-5.655920E-05,-1.24512E-02
-5.655680E-05,-1.97754E-02
-5.655440E-05,-2.70996E-02
-5.655200E-05,2.19727E-03
-5.654960E-05,-2.70996E-02
-5.654720E-05,-1.24512E-02
-5.654480E-05,-1.24512E-02
-5.654240E-05,-5.12695E-03
-5.654000E-05,-1.97754E-02
-5.653760E-05,2.41699E-02
-5.653520E-05,-1.97754E-02
-5.653280E-05,-3.44238E-02
-5.653040E-05,-1.97754E-02
-5.652800E-05,-1.24512E-02
-5.652560E-05,-5.12695E-03
-5.652320E-05,9.52148E-03
-5.652080E-05,-5.12695E-03
-5.651840E-05,-5.12695E-03
-5.651600E-05,-1.97754E-02
-5.651360E-05,-1.24512E-02
-5.651120E-05,-1.24512E-02
-5.650880E-05,-5.12695E-03
-5.650640E-05,-1.97754E-02
-5.650400E-05,-5.12695E-03
-5.650160E-05,-2.70996E-02
-5.649920E-05,2.19727E-03
-5.649680E-05,-2.70996E-02
-5.649440E-05,-1.97754E-02
-5.649200E-05,-2.70996E-02
-5.648960E-05,-5.12695E-03
-5.648720E-05,-5.12695E-03
-5.648480E-05,-5.12695E-03
-5.648240E-05,-3.44238E-02
-5.648000E-05,9.52148E-03
-5.647760E-05,-5.12695E-03
-5.647520E-05,-1.97754E-02
-5.647280E-05,-3.44238E-02
-5.647040E-05,-5.12695E-03
-5.646800E-05,-5.12695E-03
-5.646560E-05,1.68457E-02
-5.646320E-05,-1.97754E-02
-5.646080E-05,-2.70996E-02
-5.645840E-05,-5.12695E-03
-5.645600E-05,-5.12695E-03
-5.645360E-05,-1.24512E-02
-5.645120E-05,-1.24512E-02
-5.644880E-05,-1.24512E-02
-5.644640E-05,-5.12695E-03
-5.644400E-05,-2.70996E-02
-5.644160E-05,-1.24512E-02
-5.643920E-05,-1.97754E-02
-5.643680E-05,-1.24512E-02
-5.643440E-05,-1.24512E-02
-5.643200E-05,9.52148E-03
-5.642960E-05,-1.24512E-02
-5.642720E-05,-5.12695E-03
-5.642480E-05,-1.97754E-02
-5.642240E-05,9.52148E-03
-5.642000E-05,-1.97754E-02
-5.641760E-05,-5.12695E-03
-5.641520E-05,-1.97754E-02
-5.641280E-05,-1.97754E-02
-5.641040E-05,-1.97754E-02
-5.640800E-05,-1.24512E-02
-5.640560E-05,-1.24512E-02
-5.640320E-05,-5.12695E-03
-5.640080E-05,-5.12695E-03
-5.639840E-05,-5.12695E-03
-5.639600E-05,-2.70996E-02
-5.639360E-05,-1.97754E-02
-5.639120E-05,-1.97754E-02
-5.638880E-05,2.19727E-03
-5.638640E-05,-5.12695E-03
-5.638400E-05,-5.12695E-03
-5.638160E-05,-5.12695E-03
-5.637920E-05,-3.44238E-02
-5.637680E-05,-2.70996E-02
-5.637440E-05,-5.12695E-03
-5.637200E-05,1.68457E-02
-5.636960E-05,-1.24512E-02
-5.636720E-05,-5.12695E-03
-5.636480E-05,-4.17480E-02
-5.636240E-05,2.19727E-03
-5.636000E-05,-1.24512E-02
-5.635760E-05,-4.17480E-02
-5.635520E-05,-5.12695E-03
-5.635280E-05,-4.17480E-02
-5.635040E-05,-5.12695E-03
-5.634800E-05,-1.97754E-02
-5.634560E-05,2.19727E-03
-5.634320E-05,-5.12695E-03
-5.634080E-05,-1.24512E-02
-5.633840E-05,-1.24512E-02
-5.633600E-05,-5.12695E-03
-5.633360E-05,-1.24512E-02
-5.633120E-05,-1.97754E-02
-5.632880E-05,-5.12695E-03
-5.632640E-05,-5.12695E-03
-5.632400E-05,-1.24512E-02
-5.632160E-05,9.52148E-03
-5.631920E-05,-1.97754E-02
-5.631680E-05,-1.24512E-02
-5.631440E-05,2.19727E-03
-5.631200E-05,-1.24512E-02
-5.630960E-05,-2.70996E-02
-5.630720E-05,-1.24512E-02
-5.630480E-05,-2.70996E-02
-5.630240E-05,-2.70996E-02
-5.630000E-05,-5.12695E-03
-5.629760E-05,-1.97754E-02
-5.629520E-05,-2.70996E-02
-5.629280E-05,1.68457E-02
-5.629040E-05,9.52148E-03
-5.628800E-05,-1.97754E-02
-5.628560E-05,9.52148E-03
-5.628320E-05,-2.70996E-02
-5.628080E-05,-1.24512E-02
-5.627840E-05,-2.70996E-02
-5.627600E-05,-1.97754E-02
-5.627360E-05,-1.97754E-02
-5.627120E-05,-5.12695E-03
-5.626880E-05,-1.97754E-02
-5.626640E-05,-5.12695E-03
-5.626400E-05,-1.97754E-02
-5.626160E-05,-5.12695E-03
-5.625920E-05,-1.97754E-02
-5.625680E-05,-1.24512E-02
-5.625440E-05,-5.12695E-03
-5.625200E-05,-2.70996E-02
-5.624960E-05,2.19727E-03
-5.624720E-05,-1.97754E-02
-5.624480E-05,2.19727E-03
-5.624240E-05,-1.97754E-02
-5.624000E-05,-5.12695E-03
-5.623760E-05,-1.24512E-02
-5.623520E-05,-5.12695E-03
-5.623280E-05,-2.70996E-02
-5.623040E-05,-5.12695E-03
-5.622800E-05,2.19727E-03
-5.622560E-05,2.19727E-03
-5.622320E-05,-1.97754E-02
-5.622080E-05,-1.97754E-02
-5.621840E-05,2.19727E-03
-5.621600E-05,2.41699E-02
-5.621360E-05,2.19727E-03
-5.621120E-05,-1.24512E-02
-5.620880E-05,-5.12695E-03
-5.620640E-05,2.19727E-03
-5.620400E-05,-2.70996E-02
-5.620160E-05,-5.12695E-03
-5.619920E-05,-1.97754E-02
-5.619680E-05,-5.12695E-03
-5.619440E-05,-1.97754E-02
-5.619200E-05,-5.12695E-03
-5.618960E-05,-5.12695E-03
-5.618720E-05,-5.12695E-03
-5.618480E-05,9.52148E-03
-5.618240E-05,-5.12695E-03
-5.618000E-05,-1.97754E-02
-5.617760E-05,-1.24512E-02
-5.617520E-05,-1.97754E-02
-5.617280E-05,-5.12695E-03
-5.617040E-05,-5.12695E-03
-5.616800E-05,2.19727E-03
-5.616560E-05,-1.97754E-02
-5.616320E-05,-1.97754E-02
-5.616080E-05,-5.12695E-03
-5.615840E-05,-5.12695E-03
-5.615600E-05,-5.12695E-03
-5.615360E-05,9.52148E-03
-5.615120E-05,-1.24512E-02
-5.614880E-05,-5.12695E-03
-5.614640E-05,-1.24512E-02
-5.614400E-05,-1.97754E-02
-5.614160E-05,-1.97754E-02
-5.613920E-05,-2.70996E-02
-5.613680E-05,-1.97754E-02
-5.613440E-05,-5.12695E-03
-5.613200E-05,-5.12695E-03
-5.612960E-05,-1.24512E-02
-5.612720E-05,-1.97754E-02
-5.612480E-05,-1.97754E-02
-5.612240E-05,2.19727E-03
-5.612000E-05,2.19727E-03
-5.611760E-05,-1.24512E-02
-5.611520E-05,-1.97754E-02
-5.611280E-05,-5.12695E-03
-5.611040E-05,-2.70996E-02
-5.610800E-05,-1.97754E-02
-5.610560E-05,-5.12695E-03
-5.610320E-05,-1.97754E-02
-5.610080E-05,-5.12695E-03
-5.609840E-05,-1.24512E-02
-5.609600E-05,-5.12695E-03
-5.609360E-05,-5.12695E-03
-5.609120E-05,-1.97754E-02
-5.608880E-05,-1.24512E-02
-5.608640E-05,-5.12695E-03
-5.608400E-05,2.19727E-03
-5.608160E-05,-5.12695E-03
-5.607920E-05,-1.97754E-02
-5.607680E-05,-5.12695E-03
-5.607440E-05,-2.70996E-02
-5.607200E-05,-1.24512E-02
-5.606960E-05,-1.97754E-02
-5.606720E-05,2.19727E-03
-5.606480E-05,-5.12695E-03
-5.606240E-05,-1.24512E-02
-5.606000E-05,-2.70996E-02
-5.605760E-05,-5.12695E-03
-5.605520E-05,-5.12695E-03
-5.605280E-05,2.19727E-03
-5.605040E-05,-4.17480E-02
