in s,C1 in V
-2.184000E-05,-2.70996E-02
-2.183840E-05,-5.12695E-03
-2.183680E-05,2.41699E-02
-2.183520E-05,9.52148E-03
-2.183360E-05,-1.97754E-02
-2.183200E-05,2.19727E-03
-2.183040E-05,-5.12695E-03
-2.182880E-05,-1.97754E-02
-2.182720E-05,-1.24512E-02
-2.182560E-05,-2.70996E-02
-2.182400E-05,-5.12695E-03
-2.182240E-05,-5.12695E-03
-2.182080E-05,-5.12695E-03
-2.181920E-05,2.19727E-03
-2.181760E-05,-5.12695E-03
-2.181600E-05,-5.12695E-03
-2.181440E-05,-2.70996E-02
-2.181280E-05,-1.97754E-02
-2.181120E-05,2.19727E-03
-2.180960E-05,-1.24512E-02
-2.180800E-05,-1.24512E-02
-2.180640E-05,-2.70996E-02
-2.180480E-05,-1.97754E-02
-2.180320E-05,-1.24512E-02
-2.180160E-05,-2.70996E-02
-2.180000E-05,-5.12695E-03
-2.179840E-05,-5.12695E-03
-2.179680E-05,2.19727E-03
-2.179520E-05,-1.97754E-02
-2.179360E-05,-2.70996E-02
-2.179200E-05,-5.12695E-03
-2.179040E-05,2.19727E-03
-2.178880E-05,2.19727E-03
-2.178720E-05,-1.97754E-02
-2.178560E-05,-1.24512E-02
-2.178400E-05,-5.12695E-03
-2.178240E-05,-1.24512E-02
-2.178080E-05,-4.17480E-02
-2.177920E-05,-1.97754E-02
-2.177760E-05,-5.12695E-03
-2.177600E-05,-5.12695E-03
-2.177440E-05,-5.12695E-03
-2.177280E-05,-5.12695E-03
-2.177120E-05,-1.97754E-02
-2.176960E-05,-5.12695E-03
-2.176800E-05,-1.24512E-02
-2.176640E-05,-1.97754E-02
-2.176480E-05,-1.97754E-02
-2.176320E-05,-1.24512E-02
-2.176160E-05,9.52148E-03
-2.176000E-05,-5.12695E-03
-2.175840E-05,-1.24512E-02
-2.175680E-05,-5.12695E-03
-2.175520E-05,9.52148E-03
-2.175360E-05,-5.12695E-03
-2.175200E-05,-5.12695E-03
-2.175040E-05,-1.97754E-02
-2.174880E-05,-5.12695E-03
-2.174720E-05,-1.24512E-02
-2.174560E-05,-1.97754E-02
-2.174400E-05,2.19727E-03
-2.174240E-05,-2.70996E-02
-2.174080E-05,-1.24512E-02
-2.173920E-05,-5.12695E-03
-2.173760E-05,-2.70996E-02
-2.173600E-05,-5.12695E-03
-2.173440E-05,-5.12695E-03
-2.173280E-05,-1.24512E-02
-2.173120E-05,-5.12695E-03
-2.172960E-05,2.19727E-03
-2.172800E-05,-5.12695E-03
-2.172640E-05,-5.12695E-03
-2.172480E-05,9.52148E-03
-2.172320E-05,-1.24512E-02
-2.172160E-05,-5.12695E-03
-2.172000E-05,-1.97754E-02
-2.171840E-05,-4.17480E-02
-2.171680E-05,-5.12695E-03
-2.171520E-05,9.52148E-03
-2.171360E-05,-5.12695E-03
-2.171200E-05,-1.97754E-02
-2.171040E-05,-1.24512E-02
-2.170880E-05,-5.12695E-03
-2.170720E-05,2.19727E-03
-2.170560E-05,-2.70996E-02
-2.170400E-05,9.52148E-03
-2.170240E-05,-1.24512E-02
-2.170080E-05,-1.24512E-02
-2.169920E-05,-5.12695E-03
-2.169760E-05,-5.12695E-03
-2.169600E-05,1.68457E-02
-2.169440E-05,2.19727E-03
-2.169280E-05,-1.97754E-02
-2.169120E-05,-5.12695E-03
-2.168960E-05,2.19727E-03
-2.168800E-05,9.52148E-03
-2.168640E-05,-5.12695E-03
-2.168480E-05,2.19727E-03
-2.168320E-05,3.14941E-02
-2.168160E-05,-1.24512E-02
-2.168000E-05,-1.24512E-02
-2.167840E-05,-1.97754E-02
-2.167680E-05,1.68457E-02
-2.167520E-05,-5.12695E-03
-2.167360E-05,-1.24512E-02
-2.167200E-05,-1.97754E-02
-2.167040E-05,2.19727E-03
-2.166880E-05,-5.12695E-03
-2.166720E-05,2.19727E-03
-2.166560E-05,-5.12695E-03
-2.166400E-05,-5.12695E-03
-2.166240E-05,-5.12695E-03
-2.166080E-05,-1.24512E-02
-2.165920E-05,-1.97754E-02
-2.165760E-05,-5.12695E-03
-2.165600E-05,-1.24512E-02
-2.165440E-05,-2.70996E-02
-2.165280E-05,1.68457E-02
-2.165120E-05,-1.24512E-02
-2.164960E-05,-5.12695E-03
-2.164800E-05,1.68457E-02
-2.164640E-05,-5.12695E-03
-2.164480E-05,-5.12695E-03
-2.164320E-05,-1.97754E-02
-2.164160E-05,-1.24512E-02
-2.164000E-05,-1.24512E-02
-2.163840E-05,1.68457E-02
-2.163680E-05,-5.12695E-03
-2.163520E-05,-1.24512E-02
-2.163360E-05,9.52148E-03
-2.163200E-05,-5.12695E-03
-2.163040E-05,1.68457E-02
-2.162880E-05,-1.24512E-02
-2.162720E-05,-1.97754E-02
-2.162560E-05,9.52148E-03
-2.162400E-05,-1.24512E-02
-2.162240E-05,-1.24512E-02
-2.162080E-05,2.19727E-03
-2.161920E-05,-1.97754E-02
-2.161760E-05,-5.12695E-03
-2.161600E-05,-1.97754E-02
-2.161440E-05,9.52148E-03
-2.161280E-05,-5.12695E-03
-2.161120E-05,-5.12695E-03
-2.160960E-05,1.68457E-02
-2.160800E-05,9.52148E-03
-2.160640E-05,-5.12695E-03
-2.160480E-05,-1.24512E-02
-2.160320E-05,-1.97754E-02
-2.160160E-05,-1.24512E-02
-2.160000E-05,-5.12695E-03
-2.159840E-05,-5.12695E-03
-2.159680E-05,-5.12695E-03
-2.159520E-05,2.19727E-03
-2.159360E-05,-1.97754E-02
-2.159200E-05,-5.12695E-03
-2.159040E-05,-1.97754E-02
-2.158880E-05,-5.12695E-03
-2.158720E-05,-5.12695E-03
-2.158560E-05,2.19727E-03
-2.158400E-05,-5.12695E-03
-2.158240E-05,-5.12695E-03
-2.158080E-05,-1.97754E-02
-2.157920E-05,2.19727E-03
-2.157760E-05,-1.97754E-02
-2.157600E-05,9.52148E-03
-2.157440E-05,-5.12695E-03
-2.157280E-05,-5.12695E-03
-2.157120E-05,-5.12695E-03
-2.156960E-05,9.52148E-03
-2.156800E-05,2.19727E-03
-2.156640E-05,-5.12695E-03
-2.156480E-05,-1.24512E-02
-2.156320E-05,-5.12695E-03
-2.156160E-05,-2.70996E-02
-2.156000E-05,-5.12695E-03
-2.155840E-05,-3.44238E-02
-2.155680E-05,-5.12695E-03
-2.155520E-05,-5.12695E-03
-2.155360E-05,-5.12695E-03
-2.155200E-05,-5.12695E-03
-2.155040E-05,-1.97754E-02
-2.154880E-05,-5.12695E-03
-2.154720E-05,-1.97754E-02
-2.154560E-05,-1.24512E-02
-2.154400E-05,-1.24512E-02
-2.154240E-05,9.52148E-03
-2.154080E-05,2.19727E-03
-2.153920E-05,-1.24512E-02
-2.153760E-05,-5.12695E-03
-2.153600E-05,-5.12695E-03
-2.153440E-05,-3.44238E-02
-2.153280E-05,2.19727E-03
-2.153120E-05,-2.70996E-02
-2.152960E-05,-5.12695E-03
-2.152800E-05,-1.24512E-02
-2.152640E-05,-1.24512E-02
-2.152480E-05,-5.12695E-03
-2.152320E-05,-5.12695E-03
-2.152160E-05,9.52148E-03
-2.152000E-05,-1.24512E-02
-2.151840E-05,-1.97754E-02
-2.151680E-05,-1.24512E-02
-2.151520E-05,-1.24512E-02
-2.151360E-05,2.19727E-03
-2.151200E-05,-5.12695E-03
-2.151040E-05,2.19727E-03
-2.150880E-05,2.19727E-03
-2.150720E-05,-1.97754E-02
-2.150560E-05,-1.97754E-02
-2.150400E-05,-2.70996E-02
-2.150240E-05,-1.97754E-02
-2.150080E-05,-2.70996E-02
-2.149920E-05,-5.12695E-03
-2.149760E-05,-5.12695E-03
-2.149600E-05,2.19727E-03
-2.149440E-05,-1.24512E-02
-2.149280E-05,-1.24512E-02
-2.149120E-05,2.19727E-03
-2.148960E-05,-2.70996E-02
-2.148800E-05,9.52148E-03
-2.148640E-05,-1.24512E-02
-2.148480E-05,-5.12695E-03
-2.148320E-05,-1.97754E-02
-2.148160E-05,-5.12695E-03
-2.148000E-05,1.68457E-02
-2.147840E-05,2.19727E-03
-2.147680E-05,-5.12695E-03
-2.147520E-05,-2.70996E-02
-2.147360E-05,-1.24512E-02
-2.147200E-05,-1.97754E-02
-2.147040E-05,-5.12695E-03
-2.146880E-05,-2.70996E-02
-2.146720E-05,-5.12695E-03
-2.146560E-05,-1.24512E-02
-2.146400E-05,-2.70996E-02
-2.146240E-05,-1.24512E-02
-2.146080E-05,-5.12695E-03
-2.145920E-05,-5.12695E-03
-2.145760E-05,-1.24512E-02
-2.145600E-05,-5.12695E-03
-2.145440E-05,-3.44238E-02
-2.145280E-05,-1.24512E-02
-2.145120E-05,-5.12695E-03
-2.144960E-05,-5.12695E-03
-2.144800E-05,-1.97754E-02
-2.144640E-05,2.19727E-03
-2.144480E-05,2.19727E-03
-2.144320E-05,-1.24512E-02
-2.144160E-05,-1.24512E-02
-2.144000E-05,-1.24512E-02
-2.143840E-05,-1.97754E-02
-2.143680E-05,2.19727E-03
-2.143520E-05,2.19727E-03
-2.143360E-05,-1.24512E-02
-2.143200E-05,-5.12695E-03
-2.143040E-05,-1.24512E-02
-2.142880E-05,-1.24512E-02
-2.142720E-05,-5.12695E-03
-2.142560E-05,-5.12695E-03
-2.142400E-05,-5.12695E-03
-2.142240E-05,-5.12695E-03
-2.142080E-05,-5.12695E-03
-2.141920E-05,-5.12695E-03
-2.141760E-05,-2.70996E-02
-2.141600E-05,2.19727E-03
-2.141440E-05,-5.12695E-03
-2.141280E-05,-5.12695E-03
-2.141120E-05,-5.12695E-03
-2.140960E-05,-1.24512E-02
-2.140800E-05,2.19727E-03
-2.140640E-05,2.19727E-03
-2.140480E-05,-1.24512E-02
-2.140320E-05,-1.97754E-02
-2.140160E-05,2.19727E-03
-2.140000E-05,-1.97754E-02
-2.139840E-05,-5.12695E-03
-2.139680E-05,-1.24512E-02
-2.139520E-05,-1.24512E-02
-2.139360E-05,-5.12695E-03
-2.139200E-05,-1.24512E-02
-2.139040E-05,-5.12695E-03
-2.138880E-05,-5.12695E-03
-2.138720E-05,9.52148E-03
-2.138560E-05,-1.97754E-02
-2.138400E-05,9.52148E-03
-2.138240E-05,-5.12695E-03
-2.138080E-05,2.19727E-03
-2.137920E-05,-1.24512E-02
-2.137760E-05,9.52148E-03
-2.137600E-05,-1.97754E-02
-2.137440E-05,-5.12695E-03
-2.137280E-05,-5.12695E-03
-2.137120E-05,-5.12695E-03
-2.136960E-05,-5.12695E-03
-2.136800E-05,-1.24512E-02
-2.136640E-05,-3.44238E-02
-2.136480E-05,-2.70996E-02
-2.136320E-05,-5.12695E-03
-2.136160E-05,-1.97754E-02
-2.136000E-05,1.68457E-02
-2.135840E-05,2.19727E-03
-2.135680E-05,-5.12695E-03
-2.135520E-05,-2.70996E-02
-2.135360E-05,-1.24512E-02
-2.135200E-05,-5.12695E-03
-2.135040E-05,-5.12695E-03
-2.134880E-05,9.52148E-03
-2.134720E-05,-1.97754E-02
-2.134560E-05,-5.12695E-03
-2.134400E-05,-5.12695E-03
-2.134240E-05,-5.12695E-03
-2.134080E-05,-1.24512E-02
-2.133920E-05,-2.70996E-02
-2.133760E-05,2.19727E-03
-2.133600E-05,2.19727E-03
-2.133440E-05,-1.24512E-02
-2.133280E-05,-5.12695E-03
-2.133120E-05,2.19727E-03
-2.132960E-05,-2.70996E-02
-2.132800E-05,-1.97754E-02
-2.132640E-05,-1.24512E-02
-2.132480E-05,-2.70996E-02
-2.132320E-05,-1.24512E-02
-2.132160E-05,2.19727E-03
-2.132000E-05,-5.12695E-03
-2.131840E-05,-1.97754E-02
-2.131680E-05,2.19727E-03
-2.131520E-05,-1.97754E-02
-2.131360E-05,-2.70996E-02
-2.131200E-05,-1.24512E-02
-2.131040E-05,2.19727E-03
-2.130880E-05,-1.97754E-02
-2.130720E-05,-5.12695E-03
-2.130560E-05,-5.12695E-03
-2.130400E-05,2.19727E-03
-2.130240E-05,9.52148E-03
-2.130080E-05,-1.97754E-02
-2.129920E-05,-5.12695E-03
-2.129760E-05,-5.12695E-03
-2.129600E-05,-1.24512E-02
-2.129440E-05,2.19727E-03
-2.129280E-05,-1.24512E-02
-2.129120E-05,-5.12695E-03
-2.128960E-05,-2.70996E-02
-2.128800E-05,-1.24512E-02
-2.128640E-05,-2.70996E-02
-2.128480E-05,-5.12695E-03
-2.128320E-05,-1.97754E-02
-2.128160E-05,-5.12695E-03
-2.128000E-05,1.68457E-02
-2.127840E-05,1.68457E-02
-2.127680E-05,-1.97754E-02
-2.127520E-05,9.52148E-03
-2.127360E-05,-5.12695E-03
-2.127200E-05,-5.12695E-03
-2.127040E-05,-1.97754E-02
-2.126880E-05,-5.12695E-03
-2.126720E-05,2.19727E-03
-2.126560E-05,2.19727E-03
-2.126400E-05,-1.24512E-02
-2.126240E-05,-5.12695E-03
-2.126080E-05,-5.12695E-03
-2.125920E-05,2.19727E-03
-2.125760E-05,-1.24512E-02
-2.125600E-05,-1.24512E-02
-2.125440E-05,-1.24512E-02
-2.125280E-05,-1.24512E-02
-2.125120E-05,-1.24512E-02
-2.124960E-05,-5.12695E-03
-2.124800E-05,-1.24512E-02
-2.124640E-05,-1.24512E-02
-2.124480E-05,-5.12695E-03
-2.124320E-05,2.19727E-03
-2.124160E-05,-1.97754E-02
-2.124000E-05,-5.12695E-03
-2.123840E-05,-1.24512E-02
-2.123680E-05,-1.24512E-02
-2.123520E-05,-5.12695E-03
-2.123360E-05,2.19727E-03
-2.123200E-05,-2.70996E-02
-2.123040E-05,2.19727E-03
-2.122880E-05,-5.12695E-03
-2.122720E-05,-1.24512E-02
-2.122560E-05,-1.97754E-02
-2.122400E-05,2.19727E-03
-2.122240E-05,-1.24512E-02
-2.122080E-05,-1.97754E-02
-2.121920E-05,-1.24512E-02
-2.121760E-05,-1.24512E-02
-2.121600E-05,-5.12695E-03
-2.121440E-05,-2.70996E-02
-2.121280E-05,-1.24512E-02
-2.121120E-05,-1.97754E-02
-2.120960E-05,-1.97754E-02
-2.120800E-05,-1.97754E-02
-2.120640E-05,-5.12695E-03
-2.120480E-05,-5.12695E-03
-2.120320E-05,-2.70996E-02
-2.120160E-05,-1.97754E-02
-2.120000E-05,-1.97754E-02
-2.119840E-05,-3.44238E-02
-2.119680E-05,2.19727E-03
-2.119520E-05,-5.12695E-03
-2.119360E-05,-1.24512E-02
-2.119200E-05,9.52148E-03
-2.119040E-05,-1.97754E-02
-2.118880E-05,2.19727E-03
-2.118720E-05,-1.97754E-02
-2.118560E-05,-1.97754E-02
-2.118400E-05,1.68457E-02
-2.118240E-05,-5.12695E-03
-2.118080E-05,-5.12695E-03
-2.117920E-05,9.52148E-03
-2.117760E-05,2.19727E-03
-2.117600E-05,-1.24512E-02
-2.117440E-05,-3.44238E-02
-2.117280E-05,9.52148E-03
-2.117120E-05,-5.12695E-03
-2.116960E-05,-1.24512E-02
-2.116800E-05,-5.12695E-03
-2.116640E-05,2.19727E-03
-2.116480E-05,9.52148E-03
-2.116320E-05,-5.12695E-03
-2.116160E-05,-1.97754E-02
-2.116000E-05,2.19727E-03
-2.115840E-05,-5.12695E-03
-2.115680E-05,-1.24512E-02
-2.115520E-05,-1.24512E-02
-2.115360E-05,2.19727E-03
-2.115200E-05,-1.97754E-02
-2.115040E-05,-1.97754E-02
-2.114880E-05,-1.24512E-02
-2.114720E-05,-5.12695E-03
-2.114560E-05,2.19727E-03
-2.114400E-05,-5.12695E-03
-2.114240E-05,-1.97754E-02
