in s,C1 in V
-5.9325872E-02,-9.48486E-01
-5.9324944E-02,-9.70459E-01
-5.9324016E-02,-9.85107E-01
-5.9323088E-02,-9.70459E-01
-5.9322160E-02,-9.70459E-01
-5.9321232E-02,-9.63135E-01
-5.9320304E-02,-9.70459E-01
-5.9319376E-02,-9.63135E-01
-5.9318448E-02,-9.92432E-01
-5.9317520E-02,-9.41162E-01
-5.9316592E-02,-9.85107E-01
-5.9315664E-02,-9.41162E-01
-5.9314736E-02,-9.92432E-01
-5.9313808E-02,-9.70459E-01
-5.9312880E-02,-9.85107E-01
-5.9311952E-02,-9.63135E-01
-5.9311024E-02,-9.70459E-01
-5.9310096E-02,-9.55811E-01
-5.9309168E-02,-9.92432E-01
-5.9308240E-02,-9.63135E-01
-5.9307312E-02,-9.63135E-01
-5.9306384E-02,-9.41162E-01
-5.9305456E-02,-9.77783E-01
-5.9304528E-02,-9.63135E-01
-5.9303600E-02,-9.63135E-01
-5.9302672E-02,-9.77783E-01
-5.9301744E-02,-9.85107E-01
-5.9300816E-02,-9.70459E-01
-5.9299888E-02,-9.63135E-01
-5.9298960E-02,-9.70459E-01
-5.9298032E-02,-9.55811E-01
-5.9297104E-02,-9.77783E-01
-5.9296176E-02,-9.63135E-01
-5.9295248E-02,-9.63135E-01
-5.9294320E-02,-9.55811E-01
-5.9293392E-02,-9.77783E-01
-5.9292464E-02,-9.63135E-01
-5.9291536E-02,-9.63135E-01
-5.9290608E-02,-9.55811E-01
-5.9289680E-02,-9.41162E-01
-5.9288752E-02,-9.55811E-01
-5.9287824E-02,-9.77783E-01
-5.9286896E-02,-9.63135E-01
-5.9285968E-02,-9.41162E-01
-5.9285040E-02,-9.41162E-01
-5.9284112E-02,-9.63135E-01
-5.9283184E-02,-9.70459E-01
-5.9282256E-02,-9.70459E-01
-5.9281328E-02,-9.85107E-01
-5.9280400E-02,-9.77783E-01
-5.9279472E-02,-9.48486E-01
-5.9278544E-02,-9.85107E-01
-5.9277616E-02,-9.63135E-01
-5.9276688E-02,-9.77783E-01
-5.9275760E-02,-9.48486E-01
-5.9274832E-02,-9.48486E-01
-5.9273904E-02,-9.70459E-01
-5.9272976E-02,-9.63135E-01
-5.9272048E-02,-9.70459E-01
-5.9271120E-02,-9.92432E-01
-5.9270192E-02,-9.77783E-01
-5.9269264E-02,-9.70459E-01
-5.9268336E-02,-9.48486E-01
-5.9267408E-02,-9.55811E-01
-5.9266480E-02,-9.55811E-01
-5.9265552E-02,-9.77783E-01
-5.9264624E-02,-9.48486E-01
-5.9263696E-02,-9.63135E-01
-5.9262768E-02,-9.55811E-01
-5.9261840E-02,-9.70459E-01
-5.9260912E-02,-9.48486E-01
-5.9259984E-02,-9.63135E-01
-5.9259056E-02,-9.63135E-01
-5.9258128E-02,-9.77783E-01
-5.9257200E-02,-9.55811E-01
-5.9256272E-02,-9.70459E-01
-5.9255344E-02,-9.63135E-01
-5.9254416E-02,-9.48486E-01
-5.9253488E-02,-9.85107E-01
-5.9252560E-02,-9.70459E-01
-5.9251632E-02,-9.70459E-01
-5.9250704E-02,-9.48486E-01
-5.9249776E-02,-9.70459E-01
-5.9248848E-02,-9.85107E-01
-5.9247920E-02,-9.70459E-01
-5.9246992E-02,-9.70459E-01
-5.9246064E-02,-9.63135E-01
-5.9245136E-02,-9.55811E-01
-5.9244208E-02,-9.70459E-01
-5.9243280E-02,-9.55811E-01
-5.9242352E-02,-9.77783E-01
-5.9241424E-02,-9.48486E-01
-5.9240496E-02,-9.48486E-01
-5.9239568E-02,-9.70459E-01
-5.9238640E-02,-9.63135E-01
-5.9237712E-02,-9.63135E-01
-5.9236784E-02,-9.77783E-01
-5.9235856E-02,-9.55811E-01
-5.9234928E-02,-9.48486E-01
-5.9234000E-02,-9.70459E-01
-5.9233072E-02,-9.41162E-01
-5.9232144E-02,-9.85107E-01
-5.9231216E-02,-9.70459E-01
-5.9230288E-02,-9.70459E-01
-5.9229360E-02,-9.63135E-01
-5.9228432E-02,-9.70459E-01
-5.9227504E-02,-9.55811E-01
-5.9226576E-02,-9.55811E-01
-5.9225648E-02,-9.48486E-01
-5.9224720E-02,-9.48486E-01
-5.9223792E-02,-9.63135E-01
-5.9222864E-02,-9.70459E-01
-5.9221936E-02,-9.63135E-01
