"Vendor","Rohde&Schwarz",
"Device/Mat.-No.","RTB2004 / 1333.1005k04",
"Serial No.","110244",
"Firmware Version","02.300",
"Date","2023-01-23",
"Time","16:41:43",
"Comment","",

"Meas. Place",,"1",,"2",,
"Type",,"Delay",,"Peak Peak",,
"Source 1",,"C2",,"C2",,
"Source 2",,"C1",,,,
"Unit",,s,,V,,
"Upper Level [%]",,9.000000e+01,,9.000000e+01,,
"Middle Level [%]",,5.000000e+01,,5.000000e+01,,
"Lower Level [%]",,1.000000e+01,,1.000000e+01,,
"Wave count",,1400,,1400,,
"Current",,8.996000e-06,,3.430000e+00,,
"Average No.",,1.000000e+03,,1.000000e+03,,
"Min",,8.784000e-06,,3.410400e+00,,
"Max",,9.120000e-06,,3.449600e+00,,
"Mean",,8.964172e-06,,3.426928e+00,,
"StdDev",,4.826800e-08,,6.017200e-03,,
"Time of first value",,,,,,
"Time of last value",,,,,,
"Long term Min",,8.784000e-06,,3.410400e+00,,
"Long term Max",,9.120000e-06,,3.449600e+00,,
"Long term Mean",,8.964752e-06,,3.427055e+00,,
"Long term StdDev",,4.810400e-08,,6.031900e-03,,
"Long term start time",,,,,,
"Long term end Time",,,,,,


"Index","Time Offset","Value","Time Offset","Value",
1,,8.976000e-06,,3.420200e+00,
2,,8.952000e-06,,3.415300e+00,
3,,8.972000e-06,,3.444700e+00,
4,,8.968000e-06,,3.430000e+00,
5,,9.120000e-06,,3.415300e+00,
6,,8.932000e-06,,3.425100e+00,
7,,8.980000e-06,,3.430000e+00,
8,,9.040000e-06,,3.425100e+00,
9,,8.956000e-06,,3.425100e+00,
10,,8.876000e-06,,3.430000e+00,
11,,8.972000e-06,,3.430000e+00,
12,,8.960000e-06,,3.420200e+00,
13,,9.004000e-06,,3.420200e+00,
14,,8.984000e-06,,3.425100e+00,
15,,8.956000e-06,,3.430000e+00,
16,,9.008000e-06,,3.430000e+00,
17,,8.960000e-06,,3.434900e+00,
18,,9.048000e-06,,3.425100e+00,
19,,8.964000e-06,,3.434900e+00,
20,,8.972000e-06,,3.430000e+00,
21,,8.980000e-06,,3.430000e+00,
22,,8.996000e-06,,3.415300e+00,
23,,9.040000e-06,,3.420200e+00,
24,,8.904000e-06,,3.420200e+00,
25,,9.000000e-06,,3.430000e+00,
26,,8.916000e-06,,3.420200e+00,
27,,8.980000e-06,,3.420200e+00,
28,,8.920000e-06,,3.425100e+00,
29,,8.948000e-06,,3.420200e+00,
30,,8.972000e-06,,3.420200e+00,
31,,9.116000e-06,,3.434900e+00,
32,,8.972000e-06,,3.420200e+00,
33,,9.008000e-06,,3.430000e+00,
34,,8.944000e-06,,3.434900e+00,
35,,8.948000e-06,,3.430000e+00,
36,,8.980000e-06,,3.434900e+00,
37,,8.952000e-06,,3.420200e+00,
38,,8.996000e-06,,3.425100e+00,
39,,8.924000e-06,,3.420200e+00,
40,,9.004000e-06,,3.439800e+00,
41,,8.888000e-06,,3.430000e+00,
42,,8.928000e-06,,3.434900e+00,
43,,8.944000e-06,,3.425100e+00,
44,,8.984000e-06,,3.430000e+00,
45,,8.904000e-06,,3.430000e+00,
46,,8.988000e-06,,3.420200e+00,
47,,8.992000e-06,,3.415300e+00,
48,,9.064000e-06,,3.425100e+00,
49,,9.032000e-06,,3.434900e+00,
50,,9.056000e-06,,3.420200e+00,
51,,8.908000e-06,,3.425100e+00,
52,,9.032000e-06,,3.430000e+00,
53,,8.928000e-06,,3.430000e+00,
54,,8.960000e-06,,3.434900e+00,
