in s,C1 in V
-5.64374E-04,-1.46484E-03
-5.64370E-04,1.31836E-02
-5.64366E-04,-1.46484E-03
-5.64362E-04,2.78320E-02
-5.64358E-04,8.30078E-03
-5.64354E-04,1.31836E-02
-5.64350E-04,8.30078E-03
-5.64346E-04,3.41797E-03
-5.64342E-04,1.80664E-02
-5.64338E-04,3.41797E-03
-5.64334E-04,-1.46484E-03
-5.64330E-04,1.31836E-02
-5.64326E-04,8.30078E-03
-5.64322E-04,1.80664E-02
-5.64318E-04,1.31836E-02
-5.64314E-04,-1.46484E-03
-5.64310E-04,2.78320E-02
-5.64306E-04,8.30078E-03
-5.64302E-04,8.30078E-03
-5.64298E-04,-1.46484E-03
-5.64294E-04,1.31836E-02
-5.64290E-04,-1.46484E-03
-5.64286E-04,-1.46484E-03
-5.64282E-04,3.41797E-03
-5.64278E-04,3.41797E-03
-5.64274E-04,-6.34766E-03
-5.64270E-04,-1.46484E-03
-5.64266E-04,8.30078E-03
-5.64262E-04,-1.46484E-03
-5.64258E-04,1.31836E-02
-5.64254E-04,8.30078E-03
-5.64250E-04,8.30078E-03
-5.64246E-04,-1.46484E-03
-5.64242E-04,8.30078E-03
-5.64238E-04,3.41797E-03
-5.64234E-04,1.31836E-02
-5.64230E-04,8.30078E-03
-5.64226E-04,1.31836E-02
-5.64222E-04,1.31836E-02
-5.64218E-04,3.41797E-03
-5.64214E-04,8.30078E-03
-5.64210E-04,8.30078E-03
-5.64206E-04,-1.46484E-03
-5.64202E-04,3.41797E-03
-5.64198E-04,8.30078E-03
-5.64194E-04,8.30078E-03
-5.64190E-04,8.30078E-03
-5.64186E-04,-1.46484E-03
-5.64182E-04,3.41797E-03
-5.64178E-04,-1.46484E-03
-5.64174E-04,-1.12305E-02
-5.64170E-04,3.41797E-03
-5.64166E-04,-1.46484E-03
-5.64162E-04,1.31836E-02
-5.64158E-04,1.31836E-02
-5.64154E-04,8.30078E-03
-5.64150E-04,1.31836E-02
-5.64146E-04,-1.12305E-02
-5.64142E-04,8.30078E-03
-5.64138E-04,1.31836E-02
-5.64134E-04,1.80664E-02
-5.64130E-04,3.41797E-03
-5.64126E-04,1.31836E-02
-5.64122E-04,-1.46484E-03
-5.64118E-04,-1.46484E-03
-5.64114E-04,-6.34766E-03
-5.64110E-04,1.80664E-02
-5.64106E-04,8.30078E-03
-5.64102E-04,1.31836E-02
-5.64098E-04,3.41797E-03
-5.64094E-04,-1.46484E-03
-5.64090E-04,3.41797E-03
-5.64086E-04,8.30078E-03
-5.64082E-04,-6.34766E-03
-5.64078E-04,1.31836E-02
-5.64074E-04,8.30078E-03
-5.64070E-04,1.80664E-02
-5.64066E-04,1.31836E-02
-5.64062E-04,3.41797E-03
-5.64058E-04,8.30078E-03
-5.64054E-04,8.30078E-03
-5.64050E-04,1.31836E-02
-5.64046E-04,1.31836E-02
-5.64042E-04,8.30078E-03
-5.64038E-04,3.41797E-03
-5.64034E-04,8.30078E-03
-5.64030E-04,8.30078E-03
-5.64026E-04,8.30078E-03
-5.64022E-04,2.29492E-02
-5.64018E-04,3.41797E-03
-5.64014E-04,3.41797E-03
-5.64010E-04,3.41797E-03
-5.64006E-04,1.80664E-02
-5.64002E-04,8.30078E-03
-5.63998E-04,1.31836E-02
-5.63994E-04,8.30078E-03
-5.63990E-04,1.31836E-02
-5.63986E-04,1.80664E-02
-5.63982E-04,3.41797E-03
-5.63978E-04,1.80664E-02
-5.63974E-04,3.41797E-03
-5.63970E-04,-1.46484E-03
-5.63966E-04,-1.46484E-03
-5.63962E-04,-6.34766E-03
-5.63958E-04,1.31836E-02
-5.63954E-04,3.41797E-03
-5.63950E-04,3.41797E-03
-5.63946E-04,-1.46484E-03
-5.63942E-04,1.31836E-02
-5.63938E-04,1.31836E-02
-5.63934E-04,1.31836E-02
-5.63930E-04,3.41797E-03
-5.63926E-04,-1.46484E-03
-5.63922E-04,-1.46484E-03
-5.63918E-04,-1.46484E-03
-5.63914E-04,8.30078E-03
-5.63910E-04,8.30078E-03
-5.63906E-04,1.31836E-02
-5.63902E-04,3.41797E-03
-5.63898E-04,-1.12305E-02
-5.63894E-04,-1.46484E-03
-5.63890E-04,-1.46484E-03
-5.63886E-04,8.30078E-03
-5.63882E-04,3.41797E-03
-5.63878E-04,-1.12305E-02
-5.63874E-04,-1.46484E-03
-5.63870E-04,8.30078E-03
-5.63866E-04,8.30078E-03
-5.63862E-04,1.31836E-02
-5.63858E-04,3.41797E-03
-5.63854E-04,3.41797E-03
-5.63850E-04,1.31836E-02
-5.63846E-04,1.31836E-02
-5.63842E-04,8.30078E-03
-5.63838E-04,3.41797E-03
-5.63834E-04,8.30078E-03
-5.63830E-04,-6.34766E-03
-5.63826E-04,-1.46484E-03
-5.63822E-04,-1.46484E-03
-5.63818E-04,3.41797E-03
-5.63814E-04,1.31836E-02
-5.63810E-04,8.30078E-03
-5.63806E-04,-1.46484E-03
-5.63802E-04,1.31836E-02
-5.63798E-04,8.30078E-03
-5.63794E-04,-1.46484E-03
-5.63790E-04,-1.46484E-03
-5.63786E-04,3.41797E-03
-5.63782E-04,1.80664E-02
-5.63778E-04,3.41797E-03
-5.63774E-04,1.31836E-02
-5.63770E-04,-1.46484E-03
-5.63766E-04,8.30078E-03
-5.63762E-04,1.80664E-02
-5.63758E-04,8.30078E-03
-5.63754E-04,-1.46484E-03
-5.63750E-04,2.29492E-02
-5.63746E-04,1.31836E-02
-5.63742E-04,1.80664E-02
-5.63738E-04,1.31836E-02
-5.63734E-04,-1.46484E-03
-5.63730E-04,3.41797E-03
-5.63726E-04,-1.46484E-03
-5.63722E-04,3.41797E-03
-5.63718E-04,1.31836E-02
-5.63714E-04,3.41797E-03
-5.63710E-04,-1.46484E-03
-5.63706E-04,-1.12305E-02
-5.63702E-04,-6.34766E-03
-5.63698E-04,3.41797E-03
-5.63694E-04,3.41797E-03
-5.63690E-04,8.30078E-03
-5.63686E-04,3.41797E-03
-5.63682E-04,3.41797E-03
-5.63678E-04,1.31836E-02
-5.63674E-04,3.41797E-03
-5.63670E-04,1.31836E-02
-5.63666E-04,1.31836E-02
