"Vendor","Rohde&Schwarz",
"Device/Mat.-No.","RTB2004 / 1333.1005k04",
"Serial No.","110244",
"Firmware Version","02.300",
"Date","2023-01-23",
"Time","16:41:36",
"Comment","",

"Meas. Place",,"1",,"2",,
"Type",,"Delay",,"Peak Peak",,
"Source 1",,"C2",,"C2",,
"Source 2",,"C1",,,,
"Unit",,s,,V,,
"Upper Level [%]",,9.000000e+01,,9.000000e+01,,
"Middle Level [%]",,5.000000e+01,,5.000000e+01,,
"Lower Level [%]",,1.000000e+01,,1.000000e+01,,
"Wave count",,1293,,1293,,
"Current",,8.900000e-06,,3.430000e+00,,
"Average No.",,1.000000e+03,,1.000000e+03,,
"Min",,8.784000e-06,,3.410400e+00,,
"Max",,9.120000e-06,,3.449600e+00,,
"Mean",,8.965936e-06,,3.426893e+00,,
"StdDev",,4.720000e-08,,5.963300e-03,,
"Time of first value",,,,,,
"Time of last value",,,,,,
"Long term Min",,8.784000e-06,,3.410400e+00,,
"Long term Max",,9.120000e-06,,3.449600e+00,,
"Long term Mean",,8.965692e-06,,3.426982e+00,,
"Long term StdDev",,4.783200e-08,,5.953500e-03,,
"Long term start time",,,,,,
"Long term end Time",,,,,,


"Index","Time Offset","Value","Time Offset","Value",
1,,8.960000e-06,,3.430000e+00,
2,,8.948000e-06,,3.425100e+00,
3,,8.992000e-06,,3.430000e+00,
4,,8.940000e-06,,3.420200e+00,
5,,8.932000e-06,,3.434900e+00,
6,,9.024000e-06,,3.425100e+00,
7,,9.040000e-06,,3.430000e+00,
8,,9.036000e-06,,3.430000e+00,
9,,9.016000e-06,,3.434900e+00,
10,,9.016000e-06,,3.434900e+00,
11,,8.976000e-06,,3.434900e+00,
12,,9.060000e-06,,3.430000e+00,
13,,9.004000e-06,,3.425100e+00,
14,,8.968000e-06,,3.425100e+00,
15,,8.968000e-06,,3.420200e+00,
16,,9.036000e-06,,3.415300e+00,
17,,8.980000e-06,,3.415300e+00,
18,,8.888000e-06,,3.430000e+00,
19,,8.932000e-06,,3.439800e+00,
20,,8.972000e-06,,3.425100e+00,
21,,8.960000e-06,,3.425100e+00,
22,,8.976000e-06,,3.425100e+00,
23,,8.984000e-06,,3.425100e+00,
24,,8.936000e-06,,3.420200e+00,
25,,8.896000e-06,,3.434900e+00,
26,,8.940000e-06,,3.444700e+00,
27,,9.016000e-06,,3.420200e+00,
28,,8.948000e-06,,3.430000e+00,
29,,8.920000e-06,,3.425100e+00,
30,,9.000000e-06,,3.425100e+00,
31,,8.948000e-06,,3.430000e+00,
32,,9.020000e-06,,3.430000e+00,
33,,8.976000e-06,,3.415300e+00,
34,,8.928000e-06,,3.425100e+00,
35,,9.032000e-06,,3.425100e+00,
