"Vendor","Rohde&Schwarz",
"Device/Mat.-No.","RTB2004 / 1333.1005k04",
"Serial No.","110244",
"Firmware Version","02.300",
"Date","2023-01-23",
"Time","16:50:44",
"Comment","",

"Meas. Place",,"1",,"2",,
"Type",,"Delay",,"Peak Peak",,
"Source 1",,"C2",,"C2",,
"Source 2",,"C1",,,,
"Unit",,s,,V,,
"Upper Level [%]",,9.000000e+01,,9.000000e+01,,
"Middle Level [%]",,5.000000e+01,,5.000000e+01,,
"Lower Level [%]",,1.000000e+01,,1.000000e+01,,
"Wave count",,2081,,2081,,
"Current",,3.529600e-05,,3.106600e+00,,
"Average No.",,1.000000e+03,,1.000000e+03,,
"Min",,3.510000e-05,,3.096800e+00,,
"Max",,3.541600e-05,,3.136000e+00,,
"Mean",,3.526588e-05,,3.110113e+00,,
"StdDev",,4.959600e-08,,6.056400e-03,,
"Time of first value",,,,,,
"Time of last value",,,,,,
"Long term Min",,3.510000e-05,,3.091900e+00,,
"Long term Max",,3.544400e-05,,3.136000e+00,,
"Long term Mean",,3.526614e-05,,3.110001e+00,,
"Long term StdDev",,4.845200e-08,,5.943700e-03,,
"Long term start time",,,,,,
"Long term end Time",,,,,,


"Index","Time Offset","Value","Time Offset","Value",
1,,3.534000e-05,,3.111500e+00,
2,,3.530800e-05,,3.116400e+00,
3,,3.529600e-05,,3.111500e+00,
4,,3.523200e-05,,3.106600e+00,
5,,3.525200e-05,,3.111500e+00,
6,,3.524800e-05,,3.116400e+00,
7,,3.531200e-05,,3.116400e+00,
8,,3.532400e-05,,3.106600e+00,
9,,3.522400e-05,,3.116400e+00,
10,,3.526400e-05,,3.116400e+00,
11,,3.519200e-05,,3.121300e+00,
12,,3.538000e-05,,3.116400e+00,
13,,3.518400e-05,,3.126200e+00,
14,,3.529600e-05,,3.111500e+00,
15,,3.528000e-05,,3.111500e+00,
16,,3.524400e-05,,3.116400e+00,
17,,3.532400e-05,,3.111500e+00,
18,,3.529600e-05,,3.111500e+00,
19,,3.527600e-05,,3.101700e+00,
20,,3.530800e-05,,3.101700e+00,
21,,3.530800e-05,,3.116400e+00,
22,,3.531600e-05,,3.121300e+00,
23,,3.530000e-05,,3.101700e+00,
24,,3.533600e-05,,3.106600e+00,
25,,3.527200e-05,,3.116400e+00,
26,,3.525600e-05,,3.116400e+00,
27,,3.524000e-05,,3.096800e+00,
28,,3.531200e-05,,3.106600e+00,
29,,3.522400e-05,,3.101700e+00,
30,,3.529600e-05,,3.106600e+00,
31,,3.537200e-05,,3.116400e+00,
32,,3.535200e-05,,3.101700e+00,
33,,3.529600e-05,,3.106600e+00,
34,,3.524000e-05,,3.111500e+00,
35,,3.526000e-05,,3.101700e+00,
36,,3.529200e-05,,3.106600e+00,
37,,3.525200e-05,,3.111500e+00,
38,,3.531200e-05,,3.111500e+00,
39,,3.530400e-05,,3.101700e+00,
40,,3.520800e-05,,3.111500e+00,
41,,3.528800e-05,,3.111500e+00,
42,,3.526400e-05,,3.111500e+00,
43,,3.531200e-05,,3.116400e+00,
44,,3.528800e-05,,3.111500e+00,
45,,3.521600e-05,,3.116400e+00,
46,,3.529600e-05,,3.121300e+00,
47,,3.514800e-05,,3.116400e+00,
48,,3.524000e-05,,3.111500e+00,
49,,3.524400e-05,,3.096800e+00,
50,,3.526000e-05,,3.101700e+00,
51,,3.527200e-05,,3.116400e+00,
52,,3.524800e-05,,3.111500e+00,
53,,3.526400e-05,,3.116400e+00,
54,,3.530800e-05,,3.111500e+00,
55,,3.523600e-05,,3.101700e+00,
56,,3.529600e-05,,3.106600e+00,
57,,3.526800e-05,,3.106600e+00,
58,,3.522800e-05,,3.101700e+00,
59,,3.528000e-05,,3.101700e+00,
60,,3.534000e-05,,3.101700e+00,
61,,3.524400e-05,,3.111500e+00,
62,,3.524800e-05,,3.111500e+00,
63,,3.518000e-05,,3.101700e+00,
64,,3.517600e-05,,3.116400e+00,
65,,3.530400e-05,,3.111500e+00,
66,,3.525600e-05,,3.106600e+00,
67,,3.528400e-05,,3.111500e+00,
68,,3.523200e-05,,3.111500e+00,
69,,3.529600e-05,,3.106600e+00,
70,,3.529200e-05,,3.106600e+00,
71,,3.524400e-05,,3.106600e+00,
72,,3.511200e-05,,3.101700e+00,
73,,3.522000e-05,,3.106600e+00,
74,,3.523600e-05,,3.106600e+00,
75,,3.524800e-05,,3.111500e+00,
76,,3.522000e-05,,3.111500e+00,
77,,3.534800e-05,,3.116400e+00,
78,,3.520400e-05,,3.111500e+00,
79,,3.525600e-05,,3.106600e+00,
80,,3.527600e-05,,3.106600e+00,
81,,3.524400e-05,,3.111500e+00,
82,,3.525600e-05,,3.106600e+00,
83,,3.523200e-05,,3.121300e+00,
84,,3.524000e-05,,3.111500e+00,
85,,3.526400e-05,,3.106600e+00,
86,,3.532000e-05,,3.111500e+00,
87,,3.527600e-05,,3.101700e+00,
88,,3.530400e-05,,3.121300e+00,
89,,3.518800e-05,,3.101700e+00,
90,,3.537600e-05,,3.116400e+00,
91,,3.524400e-05,,3.111500e+00,
92,,3.529600e-05,,3.116400e+00,
93,,3.527200e-05,,3.111500e+00,
94,,3.528800e-05,,3.106600e+00,
95,,3.528400e-05,,3.106600e+00,
96,,3.524800e-05,,3.116400e+00,
97,,3.532400e-05,,3.116400e+00,
98,,3.526800e-05,,3.101700e+00,
99,,3.531600e-05,,3.116400e+00,
100,,3.525200e-05,,3.116400e+00,
101,,3.531200e-05,,3.101700e+00,
102,,3.527600e-05,,3.116400e+00,
103,,3.527600e-05,,3.096800e+00,
104,,3.523600e-05,,3.111500e+00,
105,,3.517200e-05,,3.116400e+00,
106,,3.530000e-05,,3.131100e+00,
107,,3.518800e-05,,3.116400e+00,
108,,3.530800e-05,,3.111500e+00,
109,,3.536400e-05,,3.106600e+00,
110,,3.536800e-05,,3.111500e+00,
111,,3.528800e-05,,3.101700e+00,
112,,3.526000e-05,,3.111500e+00,
113,,3.520400e-05,,3.116400e+00,
114,,3.521200e-05,,3.116400e+00,
115,,3.530400e-05,,3.101700e+00,
116,,3.526800e-05,,3.111500e+00,
117,,3.518400e-05,,3.121300e+00,
118,,3.519200e-05,,3.116400e+00,
119,,3.532000e-05,,3.121300e+00,
120,,3.536000e-05,,3.116400e+00,
121,,3.524400e-05,,3.116400e+00,
122,,3.524400e-05,,3.106600e+00,
123,,3.524800e-05,,3.106600e+00,
124,,3.531200e-05,,3.106600e+00,
125,,3.520000e-05,,3.116400e+00,
126,,3.524400e-05,,3.101700e+00,
127,,3.515200e-05,,3.106600e+00,
128,,3.539200e-05,,3.111500e+00,
129,,3.520000e-05,,3.106600e+00,
130,,3.534400e-05,,3.111500e+00,
131,,3.529200e-05,,3.106600e+00,
132,,3.525200e-05,,3.111500e+00,
133,,3.532400e-05,,3.111500e+00,
134,,3.526800e-05,,3.116400e+00,
135,,3.526800e-05,,3.101700e+00,
136,,3.524000e-05,,3.116400e+00,
137,,3.529600e-05,,3.106600e+00,
138,,3.516400e-05,,3.106600e+00,
139,,3.522000e-05,,3.121300e+00,
140,,3.526000e-05,,3.111500e+00,
141,,3.514800e-05,,3.121300e+00,
142,,3.525600e-05,,3.101700e+00,
143,,3.523600e-05,,3.106600e+00,
144,,3.528000e-05,,3.106600e+00,
145,,3.534800e-05,,3.121300e+00,
146,,3.524400e-05,,3.111500e+00,
147,,3.529200e-05,,3.111500e+00,
148,,3.524000e-05,,3.101700e+00,
149,,3.523200e-05,,3.111500e+00,
150,,3.536400e-05,,3.116400e+00,
151,,3.524800e-05,,3.106600e+00,
152,,3.524800e-05,,3.101700e+00,
153,,3.526400e-05,,3.116400e+00,
154,,3.523200e-05,,3.106600e+00,
155,,3.522000e-05,,3.116400e+00,
156,,3.522800e-05,,3.101700e+00,
157,,3.520400e-05,,3.116400e+00,
158,,3.524800e-05,,3.121300e+00,
159,,3.528400e-05,,3.116400e+00,
160,,3.521200e-05,,3.106600e+00,
161,,3.517200e-05,,3.111500e+00,
162,,3.529200e-05,,3.111500e+00,
163,,3.523600e-05,,3.121300e+00,
164,,3.530800e-05,,3.116400e+00,
165,,3.532000e-05,,3.106600e+00,
166,,3.524400e-05,,3.101700e+00,
167,,3.526400e-05,,3.111500e+00,
168,,3.527200e-05,,3.111500e+00,
169,,3.528000e-05,,3.111500e+00,
170,,3.521200e-05,,3.111500e+00,
171,,3.524800e-05,,3.106600e+00,
172,,3.528400e-05,,3.116400e+00,
173,,3.524400e-05,,3.111500e+00,
174,,3.519200e-05,,3.106600e+00,
175,,3.532000e-05,,3.101700e+00,
176,,3.528000e-05,,3.106600e+00,
177,,3.524400e-05,,3.101700e+00,
178,,3.522400e-05,,3.106600e+00,
179,,3.532800e-05,,3.111500e+00,
180,,3.530400e-05,,3.116400e+00,
181,,3.530800e-05,,3.106600e+00,
182,,3.532000e-05,,3.116400e+00,
183,,3.528800e-05,,3.121300e+00,
184,,3.523600e-05,,3.121300e+00,
185,,3.518800e-05,,3.116400e+00,
186,,3.528400e-05,,3.106600e+00,
187,,3.514400e-05,,3.101700e+00,
188,,3.524800e-05,,3.106600e+00,
189,,3.536400e-05,,3.116400e+00,
190,,3.526000e-05,,3.116400e+00,
191,,3.521600e-05,,3.116400e+00,
192,,3.519200e-05,,3.096800e+00,
193,,3.530800e-05,,3.106600e+00,
194,,3.522400e-05,,3.101700e+00,
195,,3.523600e-05,,3.111500e+00,
196,,3.534000e-05,,3.106600e+00,
197,,3.530400e-05,,3.116400e+00,
198,,3.534800e-05,,3.111500e+00,
199,,3.523200e-05,,3.106600e+00,
200,,3.530800e-05,,3.106600e+00,
201,,3.526400e-05,,3.096800e+00,
202,,3.517600e-05,,3.111500e+00,
203,,3.528400e-05,,3.111500e+00,
204,,3.523200e-05,,3.106600e+00,
205,,3.518000e-05,,3.111500e+00,
206,,3.525600e-05,,3.126200e+00,
207,,3.522000e-05,,3.111500e+00,
208,,3.522000e-05,,3.106600e+00,
209,,3.510000e-05,,3.121300e+00,
210,,3.526000e-05,,3.111500e+00,
211,,3.525200e-05,,3.111500e+00,
212,,3.522400e-05,,3.116400e+00,
213,,3.532400e-05,,3.106600e+00,
214,,3.521200e-05,,3.111500e+00,
215,,3.526400e-05,,3.101700e+00,
216,,3.532000e-05,,3.111500e+00,
217,,3.530800e-05,,3.111500e+00,
218,,3.520400e-05,,3.101700e+00,
219,,3.535200e-05,,3.111500e+00,
220,,3.523600e-05,,3.106600e+00,
221,,3.519600e-05,,3.111500e+00,
222,,3.528000e-05,,3.106600e+00,
223,,3.526400e-05,,3.106600e+00,
224,,3.524400e-05,,3.116400e+00,
225,,3.531200e-05,,3.116400e+00,
226,,3.528000e-05,,3.111500e+00,
227,,3.532000e-05,,3.111500e+00,
228,,3.518800e-05,,3.111500e+00,
229,,3.526000e-05,,3.121300e+00,
230,,3.527600e-05,,3.101700e+00,
231,,3.527200e-05,,3.101700e+00,
232,,3.535600e-05,,3.111500e+00,
233,,3.523600e-05,,3.121300e+00,
234,,3.525600e-05,,3.111500e+00,
235,,3.530000e-05,,3.106600e+00,
236,,3.530400e-05,,3.101700e+00,
237,,3.527600e-05,,3.106600e+00,
238,,3.520800e-05,,3.106600e+00,
239,,3.526400e-05,,3.121300e+00,
240,,3.531200e-05,,3.101700e+00,
241,,3.526000e-05,,3.111500e+00,
242,,3.522000e-05,,3.111500e+00,
243,,3.522000e-05,,3.116400e+00,
244,,3.532000e-05,,3.101700e+00,
245,,3.540000e-05,,3.106600e+00,
246,,3.531600e-05,,3.111500e+00,
247,,3.526000e-05,,3.106600e+00,
248,,3.530400e-05,,3.106600e+00,
249,,3.531200e-05,,3.106600e+00,
250,,3.531600e-05,,3.116400e+00,
251,,3.520800e-05,,3.111500e+00,
252,,3.522000e-05,,3.106600e+00,
253,,3.526000e-05,,3.106600e+00,
254,,3.538800e-05,,3.106600e+00,
255,,3.524400e-05,,3.106600e+00,
256,,3.534800e-05,,3.111500e+00,
257,,3.526400e-05,,3.116400e+00,
258,,3.531200e-05,,3.116400e+00,
259,,3.519600e-05,,3.111500e+00,
260,,3.535200e-05,,3.106600e+00,
261,,3.526800e-05,,3.116400e+00,
262,,3.528800e-05,,3.101700e+00,
263,,3.526800e-05,,3.111500e+00,
264,,3.522400e-05,,3.101700e+00,
265,,3.531600e-05,,3.096800e+00,
266,,3.530800e-05,,3.121300e+00,
267,,3.532800e-05,,3.096800e+00,
268,,3.527600e-05,,3.101700e+00,
269,,3.525600e-05,,3.111500e+00,
270,,3.524800e-05,,3.106600e+00,
271,,3.523600e-05,,3.116400e+00,
272,,3.528400e-05,,3.106600e+00,
273,,3.527600e-05,,3.111500e+00,
274,,3.524800e-05,,3.111500e+00,
275,,3.527200e-05,,3.106600e+00,
276,,3.526000e-05,,3.121300e+00,
277,,3.530000e-05,,3.106600e+00,
278,,3.526800e-05,,3.121300e+00,
279,,3.523600e-05,,3.111500e+00,
280,,3.530000e-05,,3.101700e+00,
281,,3.523600e-05,,3.116400e+00,
282,,3.528800e-05,,3.106600e+00,
283,,3.528000e-05,,3.106600e+00,
284,,3.531200e-05,,3.121300e+00,
285,,3.524800e-05,,3.106600e+00,
286,,3.529600e-05,,3.116400e+00,
287,,3.521600e-05,,3.116400e+00,
288,,3.525200e-05,,3.111500e+00,
289,,3.529600e-05,,3.111500e+00,
290,,3.532400e-05,,3.116400e+00,
291,,3.528400e-05,,3.111500e+00,
292,,3.531200e-05,,3.101700e+00,
293,,3.527200e-05,,3.106600e+00,
294,,3.536800e-05,,3.101700e+00,
295,,3.529200e-05,,3.106600e+00,
296,,3.527200e-05,,3.111500e+00,
297,,3.524400e-05,,3.106600e+00,
298,,3.522800e-05,,3.101700e+00,
299,,3.525200e-05,,3.106600e+00,
300,,3.524000e-05,,3.116400e+00,
301,,3.525600e-05,,3.106600e+00,
302,,3.525600e-05,,3.101700e+00,
303,,3.528000e-05,,3.116400e+00,
304,,3.528800e-05,,3.101700e+00,
305,,3.524800e-05,,3.116400e+00,
306,,3.530000e-05,,3.101700e+00,
307,,3.530400e-05,,3.101700e+00,
308,,3.524800e-05,,3.101700e+00,
309,,3.529600e-05,,3.111500e+00,
310,,3.526000e-05,,3.121300e+00,
311,,3.521200e-05,,3.101700e+00,
312,,3.523200e-05,,3.116400e+00,
