in s,C1 in V
-5.410800E-04,-1.61133E-02
-5.410764E-04,8.30078E-03
-5.410728E-04,-1.12305E-02
-5.410692E-04,-6.34766E-03
-5.410656E-04,-1.12305E-02
-5.410620E-04,8.30078E-03
-5.410584E-04,-1.12305E-02
-5.410548E-04,-6.34766E-03
-5.410512E-04,-1.12305E-02
-5.410476E-04,-1.46484E-03
-5.410440E-04,-1.61133E-02
-5.410404E-04,-2.09961E-02
-5.410368E-04,-2.09961E-02
-5.410332E-04,-6.34766E-03
-5.410296E-04,-2.09961E-02
-5.410260E-04,-1.61133E-02
-5.410224E-04,-6.34766E-03
-5.410188E-04,-6.34766E-03
-5.410152E-04,-1.12305E-02
-5.410116E-04,-2.09961E-02
-5.410080E-04,-6.34766E-03
-5.410044E-04,-1.61133E-02
-5.410008E-04,-1.12305E-02
-5.409972E-04,-6.34766E-03
-5.409936E-04,-1.46484E-03
-5.409900E-04,-1.12305E-02
-5.409864E-04,-3.07617E-02
-5.409828E-04,-1.61133E-02
-5.409792E-04,-1.61133E-02
-5.409756E-04,-1.61133E-02
-5.409720E-04,-6.34766E-03
-5.409684E-04,-6.34766E-03
-5.409648E-04,-1.61133E-02
-5.409612E-04,-1.46484E-03
-5.409576E-04,-6.34766E-03
-5.409540E-04,8.30078E-03
-5.409504E-04,-1.46484E-03
-5.409468E-04,-6.34766E-03
-5.409432E-04,-1.12305E-02
-5.409396E-04,-6.34766E-03
-5.409360E-04,-1.61133E-02
-5.409324E-04,-6.34766E-03
-5.409288E-04,-1.12305E-02
-5.409252E-04,-1.61133E-02
-5.409216E-04,-1.12305E-02
-5.409180E-04,-6.34766E-03
-5.409144E-04,-6.34766E-03
-5.409108E-04,3.41797E-03
-5.409072E-04,-1.12305E-02
-5.409036E-04,-1.46484E-03
-5.409000E-04,-3.56445E-02
-5.408964E-04,-1.61133E-02
-5.408928E-04,-2.09961E-02
-5.408892E-04,-6.34766E-03
-5.408856E-04,-2.58789E-02
-5.408820E-04,-1.61133E-02
-5.408784E-04,-2.09961E-02
-5.408748E-04,3.41797E-03
-5.408712E-04,-6.34766E-03
-5.408676E-04,-6.34766E-03
-5.408640E-04,-2.09961E-02
-5.408604E-04,-6.34766E-03
-5.408568E-04,-1.46484E-03
-5.408532E-04,-6.34766E-03
-5.408496E-04,-6.34766E-03
-5.408460E-04,-1.61133E-02
-5.408424E-04,-1.46484E-03
-5.408388E-04,-1.61133E-02
-5.408352E-04,-1.61133E-02
-5.408316E-04,-2.09961E-02
-5.408280E-04,-1.46484E-03
-5.408244E-04,-1.46484E-03
-5.408208E-04,3.41797E-03
-5.408172E-04,-2.09961E-02
-5.408136E-04,-2.58789E-02
-5.408100E-04,-6.34766E-03
-5.408064E-04,-1.12305E-02
-5.408028E-04,-6.34766E-03
-5.407992E-04,-1.61133E-02
-5.407956E-04,-1.61133E-02
-5.407920E-04,-1.61133E-02
-5.407884E-04,-1.12305E-02
-5.407848E-04,-1.12305E-02
-5.407812E-04,3.41797E-03
-5.407776E-04,-3.07617E-02
-5.407740E-04,-1.46484E-03
-5.407704E-04,-1.61133E-02
-5.407668E-04,8.30078E-03
-5.407632E-04,-1.61133E-02
-5.407596E-04,3.41797E-03
-5.407560E-04,-6.34766E-03
-5.407524E-04,-1.46484E-03
-5.407488E-04,-6.34766E-03
-5.407452E-04,-1.61133E-02
-5.407416E-04,-2.09961E-02
-5.407380E-04,-6.34766E-03
-5.407344E-04,-1.61133E-02
-5.407308E-04,-1.46484E-03
-5.407272E-04,-2.09961E-02
-5.407236E-04,-1.46484E-03
-5.407200E-04,-2.58789E-02
-5.407164E-04,-1.12305E-02
-5.407128E-04,-1.61133E-02
-5.407092E-04,-1.12305E-02
-5.407056E-04,-6.34766E-03
-5.407020E-04,-1.61133E-02
-5.406984E-04,-2.09961E-02
-5.406948E-04,-6.34766E-03
-5.406912E-04,-1.61133E-02
-5.406876E-04,3.41797E-03
-5.406840E-04,-1.61133E-02
-5.406804E-04,-2.09961E-02
-5.406768E-04,-1.12305E-02
-5.406732E-04,-6.34766E-03
-5.406696E-04,-6.34766E-03
-5.406660E-04,-6.34766E-03
-5.406624E-04,-2.09961E-02
-5.406588E-04,-1.61133E-02
-5.406552E-04,-1.46484E-03
-5.406516E-04,-6.34766E-03
-5.406480E-04,-1.12305E-02
-5.406444E-04,-1.12305E-02
-5.406408E-04,-2.58789E-02
-5.406372E-04,-6.34766E-03
-5.406336E-04,-6.34766E-03
-5.406300E-04,-6.34766E-03
-5.406264E-04,-2.58789E-02
-5.406228E-04,-1.61133E-02
-5.406192E-04,-6.34766E-03
-5.406156E-04,-1.46484E-03
-5.406120E-04,-2.09961E-02
-5.406084E-04,-2.09961E-02
-5.406048E-04,-1.61133E-02
-5.406012E-04,-2.09961E-02
-5.405976E-04,-1.12305E-02
-5.405940E-04,-6.34766E-03
-5.405904E-04,-6.34766E-03
-5.405868E-04,-6.34766E-03
-5.405832E-04,-2.09961E-02
-5.405796E-04,-1.61133E-02
-5.405760E-04,-2.09961E-02
-5.405724E-04,-6.34766E-03
-5.405688E-04,-6.34766E-03
-5.405652E-04,-6.34766E-03
-5.405616E-04,-2.09961E-02
-5.405580E-04,-1.46484E-03
-5.405544E-04,-1.12305E-02
-5.405508E-04,-6.34766E-03
-5.405472E-04,-1.61133E-02
-5.405436E-04,-1.46484E-03
-5.405400E-04,-1.12305E-02
-5.405364E-04,-2.09961E-02
-5.405328E-04,-1.12305E-02
-5.405292E-04,-3.07617E-02
-5.405256E-04,-2.09961E-02
-5.405220E-04,-6.34766E-03
-5.405184E-04,-1.61133E-02
-5.405148E-04,-1.46484E-03
-5.405112E-04,-1.61133E-02
-5.405076E-04,-1.61133E-02
-5.405040E-04,-1.12305E-02
-5.405004E-04,-2.09961E-02
-5.404968E-04,-1.61133E-02
-5.404932E-04,-3.07617E-02
-5.404896E-04,-1.12305E-02
-5.404860E-04,-6.34766E-03
-5.404824E-04,-3.56445E-02
-5.404788E-04,-6.34766E-03
-5.404752E-04,-6.34766E-03
-5.404716E-04,8.30078E-03
-5.404680E-04,-1.12305E-02
-5.404644E-04,-2.09961E-02
-5.404608E-04,-1.61133E-02
-5.404572E-04,-1.12305E-02
-5.404536E-04,-1.61133E-02
-5.404500E-04,-6.34766E-03
-5.404464E-04,-2.09961E-02
-5.404428E-04,-1.61133E-02
-5.404392E-04,-1.46484E-03
-5.404356E-04,3.41797E-03
-5.404320E-04,8.30078E-03
-5.404284E-04,-6.34766E-03
-5.404248E-04,3.41797E-03
-5.404212E-04,-2.58789E-02
-5.404176E-04,-6.34766E-03
-5.404140E-04,-1.61133E-02
-5.404104E-04,-2.58789E-02
-5.404068E-04,-2.09961E-02
-5.404032E-04,-2.58789E-02
-5.403996E-04,-6.34766E-03
-5.403960E-04,-1.12305E-02
-5.403924E-04,-2.09961E-02
-5.403888E-04,-1.12305E-02
-5.403852E-04,-6.34766E-03
-5.403816E-04,-1.12305E-02
-5.403780E-04,-1.61133E-02
-5.403744E-04,-1.61133E-02
-5.403708E-04,-1.61133E-02
-5.403672E-04,-2.58789E-02
-5.403636E-04,-2.09961E-02
-5.403600E-04,-1.12305E-02
-5.403564E-04,-6.34766E-03
-5.403528E-04,-1.61133E-02
-5.403492E-04,-1.46484E-03
-5.403456E-04,-1.12305E-02
-5.403420E-04,3.41797E-03
-5.403384E-04,-1.12305E-02
-5.403348E-04,-2.09961E-02
-5.403312E-04,-2.09961E-02
-5.403276E-04,-1.12305E-02
-5.403240E-04,-6.34766E-03
-5.403204E-04,-1.61133E-02
-5.403168E-04,-6.34766E-03
-5.403132E-04,-2.09961E-02
-5.403096E-04,-6.34766E-03
-5.403060E-04,-6.34766E-03
-5.403024E-04,-1.61133E-02
-5.402988E-04,-2.09961E-02
-5.402952E-04,-1.61133E-02
-5.402916E-04,3.41797E-03
-5.402880E-04,-1.61133E-02
-5.402844E-04,3.41797E-03
-5.402808E-04,-1.12305E-02
-5.402772E-04,-2.58789E-02
-5.402736E-04,-1.61133E-02
-5.402700E-04,-1.46484E-03
-5.402664E-04,-1.61133E-02
-5.402628E-04,-1.61133E-02
-5.402592E-04,-1.46484E-03
-5.402556E-04,-1.61133E-02
-5.402520E-04,-6.34766E-03
-5.402484E-04,-1.61133E-02
-5.402448E-04,-1.12305E-02
-5.402412E-04,3.41797E-03
-5.402376E-04,-2.58789E-02
-5.402340E-04,-1.61133E-02
-5.402304E-04,-1.12305E-02
-5.402268E-04,-1.61133E-02
-5.402232E-04,-3.07617E-02
-5.402196E-04,-1.61133E-02
-5.402160E-04,-2.09961E-02
-5.402124E-04,8.30078E-03
-5.402088E-04,-1.12305E-02
-5.402052E-04,-2.09961E-02
-5.402016E-04,-2.09961E-02
-5.401980E-04,-1.61133E-02
-5.401944E-04,-6.34766E-03
-5.401908E-04,-2.09961E-02
-5.401872E-04,-2.09961E-02
-5.401836E-04,-1.61133E-02
-5.401800E-04,-1.61133E-02
-5.401764E-04,-1.61133E-02
-5.401728E-04,-1.12305E-02
-5.401692E-04,8.30078E-03
-5.401656E-04,-1.61133E-02
-5.401620E-04,-2.09961E-02
-5.401584E-04,-1.61133E-02
-5.401548E-04,-3.07617E-02
-5.401512E-04,-1.61133E-02
-5.401476E-04,3.41797E-03
-5.401440E-04,-1.61133E-02
-5.401404E-04,-1.12305E-02
-5.401368E-04,-6.34766E-03
-5.401332E-04,-1.46484E-03
-5.401296E-04,-1.61133E-02
-5.401260E-04,-6.34766E-03
-5.401224E-04,-1.61133E-02
-5.401188E-04,-6.34766E-03
-5.401152E-04,-1.61133E-02
-5.401116E-04,3.41797E-03
-5.401080E-04,-6.34766E-03
-5.401044E-04,-2.09961E-02
-5.401008E-04,-2.09961E-02
-5.400972E-04,-1.46484E-03
-5.400936E-04,-6.34766E-03
-5.400900E-04,-1.61133E-02
-5.400864E-04,-2.58789E-02
-5.400828E-04,-1.12305E-02
-5.400792E-04,-2.58789E-02
-5.400756E-04,-2.09961E-02
-5.400720E-04,-2.09961E-02
-5.400684E-04,-1.46484E-03
-5.400648E-04,-1.12305E-02
-5.400612E-04,-2.09961E-02
-5.400576E-04,-2.09961E-02
-5.400540E-04,-1.61133E-02
-5.400504E-04,-6.34766E-03
-5.400468E-04,-2.09961E-02
-5.400432E-04,-1.61133E-02
-5.400396E-04,8.30078E-03
-5.400360E-04,-2.09961E-02
-5.400324E-04,-1.61133E-02
-5.400288E-04,-6.34766E-03
-5.400252E-04,-1.12305E-02
-5.400216E-04,-2.09961E-02
-5.400180E-04,-1.12305E-02
-5.400144E-04,8.30078E-03
-5.400108E-04,-1.46484E-03
-5.400072E-04,-6.34766E-03
-5.400036E-04,-6.34766E-03
-5.400000E-04,-1.61133E-02
-5.399964E-04,-1.61133E-02
-5.399928E-04,-6.34766E-03
-5.399892E-04,-1.46484E-03
-5.399856E-04,-1.12305E-02
-5.399820E-04,-6.34766E-03
-5.399784E-04,-2.09961E-02
-5.399748E-04,-1.12305E-02
-5.399712E-04,-6.34766E-03
-5.399676E-04,-1.61133E-02
-5.399640E-04,-1.46484E-03
-5.399604E-04,-6.34766E-03
-5.399568E-04,-2.58789E-02
-5.399532E-04,-1.61133E-02
-5.399496E-04,-2.09961E-02
-5.399460E-04,-1.61133E-02
-5.399424E-04,-1.61133E-02
-5.399388E-04,-6.34766E-03
-5.399352E-04,-6.34766E-03
-5.399316E-04,-6.34766E-03
-5.399280E-04,-6.34766E-03
-5.399244E-04,-1.61133E-02
-5.399208E-04,-1.12305E-02
-5.399172E-04,-1.61133E-02
-5.399136E-04,-1.61133E-02
-5.399100E-04,-1.12305E-02
-5.399064E-04,-2.09961E-02
-5.399028E-04,-2.09961E-02
-5.398992E-04,8.30078E-03
-5.398956E-04,3.41797E-03
-5.398920E-04,-1.12305E-02
-5.398884E-04,-6.34766E-03
-5.398848E-04,-1.12305E-02
-5.398812E-04,-6.34766E-03
-5.398776E-04,-6.34766E-03
-5.398740E-04,-1.46484E-03
-5.398704E-04,-2.09961E-02
-5.398668E-04,3.41797E-03
-5.398632E-04,-1.61133E-02
-5.398596E-04,-6.34766E-03
-5.398560E-04,-1.61133E-02
-5.398524E-04,-1.61133E-02
-5.398488E-04,-1.61133E-02
-5.398452E-04,-2.09961E-02
-5.398416E-04,-2.09961E-02
-5.398380E-04,-1.46484E-03
-5.398344E-04,-6.34766E-03
-5.398308E-04,3.41797E-03
-5.398272E-04,-6.34766E-03
-5.398236E-04,3.41797E-03
-5.398200E-04,-1.61133E-02
-5.398164E-04,-1.12305E-02
-5.398128E-04,-1.12305E-02
-5.398092E-04,-1.61133E-02
-5.398056E-04,-1.46484E-03
-5.398020E-04,-6.34766E-03
-5.397984E-04,-1.61133E-02
-5.397948E-04,-1.12305E-02
-5.397912E-04,-1.12305E-02
-5.397876E-04,-2.58789E-02
-5.397840E-04,-2.09961E-02
-5.397804E-04,-1.61133E-02
-5.397768E-04,-1.12305E-02
-5.397732E-04,-1.46484E-03
-5.397696E-04,-1.61133E-02
-5.397660E-04,-1.12305E-02
-5.397624E-04,-2.09961E-02
-5.397588E-04,-1.61133E-02
-5.397552E-04,-2.09961E-02
-5.397516E-04,-1.61133E-02
-5.397480E-04,-1.61133E-02
-5.397444E-04,3.41797E-03
-5.397408E-04,-1.61133E-02
-5.397372E-04,-2.09961E-02
-5.397336E-04,-2.09961E-02
