Vendor,Rohde&Schwarz,,,,,,,
Device/Mat.-No.,RTB2004 / 1333.1005k04,,,,,,,
Serial No.,110244,,,,,,,
Firmware Version,2.3,,,,,,,
Date,31/1/2023,,,,,,,
Time,17:56:12,,,,,,,
Comment,,,,,,,,
,,,,,,,,
Meas. Place,,1,,2,,3,,4
Type,,Amplitude,,Amplitude,,Frequency,,Phase
Source 1,,C1,,C2,,C1,,C1
Source 2,,,,,,,,C2
Unit,,V,,V,,Hz,,°
68,,2.04E+00,,1.60E+00,,4.09E+04,,-1.65E+02
69,,2.02E+00,,1.58E+00,,4.24E+04,,-1.19E+02
70,,2.16E+00,,1.56E+00,,4.37E+04,,-7.35E+01
71,,2.29E+00,,1.54E+00,,4.51E+04,,-2.73E+01
72,,2.29E+00,,1.53E+00,,4.66E+04,,1.58E+01
73,,2.18E+00,,1.53E+00,,4.71E+04,,3.16E+01
74,,2.05E+00,,1.52E+00,,4.86E+04,,7.51E+01
75,,1.99E+00,,1.52E+00,,4.99E+04,,1.19E+02
76,,2.01E+00,,1.51E+00,,5.13E+04,,1.64E+02
77,,2.09E+00,,1.49E+00,,5.26E+04,,-1.49E+02
78,,2.11E+00,,1.48E+00,,5.41E+04,,-9.78E+01
79,,2.04E+00,,1.47E+00,,5.54E+04,,-5.78E+01
80,,1.98E+00,,1.46E+00,,5.68E+04,,-1.26E+01
81,,2.03E+00,,1.44E+00,,5.82E+04,,3.50E+01
82,,2.23E+00,,1.42E+00,,5.89E+04,,6.64E+01
83,,2.36E+00,,1.39E+00,,6.03E+04,,1.12E+02
84,,2.26E+00,,1.38E+00,,6.17E+04,,1.51E+02
85,,2.08E+00,,1.39E+00,,6.30E+04,,-1.68E+02
86,,2.01E+00,,1.38E+00,,6.43E+04,,-1.24E+02
87,,2.05E+00,,1.38E+00,,6.58E+04,,-6.80E+01
88,,2.17E+00,,1.35E+00,,6.66E+04,,-3.95E+01
89,,2.26E+00,,1.33E+00,,6.86E+04,,3.25E+01
90,,2.37E+00,,1.27E+00,,6.99E+04,,7.35E+01
91,,2.31E+00,,1.27E+00,,7.20E+04,,1.42E+02
92,,2.08E+00,,1.26E+00,,7.27E+04,,1.62E+02
93,,1.90E+00,,1.27E+00,,7.40E+04,,-1.54E+02
94,,1.94E+00,,1.26E+00,,7.54E+04,,-1.03E+02
95,,1.98E+00,,1.25E+00,,7.69E+04,,-4.45E+01
96,,1.95E+00,,1.24E+00,,7.84E+04,,7.71E+00
97,,2.04E+00,,1.22E+00,,7.96E+04,,5.54E+01
98,,2.26E+00,,1.18E+00,,8.09E+04,,1.08E+02
99,,2.30E+00,,1.16E+00,,8.24E+04,,1.62E+02
100,,2.12E+00,,1.15E+00,,8.39E+04,,-1.50E+02
101,,1.90E+00,,1.14E+00,,8.51E+04,,-1.09E+02
102,,1.93E+00,,1.14E+00,,8.64E+04,,-5.66E+01
103,,2.07E+00,,1.13E+00,,8.79E+04,,6.03E+00
104,,2.04E+00,,1.11E+00,,8.93E+04,,5.70E+01
105,,1.98E+00,,1.10E+00,,9.06E+04,,1.07E+02
106,,1.92E+00,,1.08E+00,,9.13E+04,,1.35E+02
107,,2.04E+00,,1.05E+00,,9.27E+04,,-1.69E+02
108,,2.16E+00,,1.04E+00,,9.41E+04,,-1.06E+02
109,,2.21E+00,,1.03E+00,,9.55E+04,,-5.26E+01
110,,2.31E+00,,1.00E+00,,9.61E+04,,-2.46E+01
111,,2.39E+00,,9.80E-01,,9.75E+04,,2.89E+01
112,,2.47E+00,,9.56E-01,,9.88E+04,,8.27E+01
113,,2.57E+00,,9.21E-01,,1.00E+05,,1.43E+02
114,,2.61E+00,,8.97E-01,,1.02E+05,,-1.64E+02
115,,2.56E+00,,8.92E-01,,1.03E+05,,-1.10E+02
116,,2.37E+00,,8.92E-01,,1.04E+05,,-8.59E+01
117,,2.48E+00,,8.67E-01,,1.05E+05,,-2.20E+01
118,,2.63E+00,,8.23E-01,,1.06E+05,,4.36E+01
119,,2.54E+00,,8.18E-01,,1.08E+05,,9.67E+01
120,,2.46E+00,,8.04E-01,,1.09E+05,,1.52E+02
121,,2.42E+00,,7.89E-01,,1.11E+05,,-1.46E+02
122,,2.23E+00,,7.74E-01,,1.11E+05,,-1.10E+02
123,,2.06E+00,,7.69E-01,,1.13E+05,,-4.81E+01
124,,2.01E+00,,7.50E-01,,1.14E+05,,1.74E+01
125,,2.00E+00,,7.06E-01,,1.15E+05,,8.71E+01
126,,2.23E+00,,6.76E-01,,1.17E+05,,1.71E+02
127,,2.21E+00,,6.47E-01,,1.18E+05,,-1.21E+02
128,,2.25E+00,,5.93E-01,,1.20E+05,,-5.16E+01
129,,2.46E+00,,5.59E-01,,1.21E+05,,2.53E+01
130,,2.66E+00,,5.39E-01,,1.22E+05,,6.71E+01
131,,2.48E+00,,5.49E-01,,1.23E+05,,1.30E+02
132,,2.45E+00,,5.29E-01,,1.24E+05,,-1.60E+02
133,,2.53E+00,,5.10E-01,,1.26E+05,,-7.50E+01
134,,2.76E+00,,4.56E-01,,1.26E+05,,-3.34E+01
135,,2.95E+00,,4.12E-01,,1.28E+05,,5.23E+01
136,,3.05E+00,,3.77E-01,,1.29E+05,,1.33E+02
137,,3.03E+00,,3.53E-01,,1.31E+05,,-1.50E+02
138,,3.13E+00,,2.99E-01,,1.32E+05,,-6.26E+01
139,,3.27E+00,,2.45E-01,,1.33E+05,,3.93E+01
140,,3.25E+00,,2.11E-01,,1.35E+05,,1.27E+02
141,,3.06E+00,,1.81E-01,,1.36E+05,,-1.41E+02
142,,3.14E+00,,1.62E-01,,1.38E+05,,-3.19E+01
143,,3.31E+00,,1.13E-01,,1.38E+05,,2.64E+01
144,,3.51E+00,,1.600000e+308,,1.40E+05,,1.29E+02
145,,3.54E+00,,1.600000e+308,,1.41E+05,,1.600000e+308
146,,3.47E+00,,1.600000e+308,,1.42E+05,,1.600000e+308
147,,3.46E+00,,1.600000e+308,,1.44E+05,,1.600000e+308
148,,1.83E+00,,1.86E+00,,1.45E+05,,1.600000e+308
149,,1.96E+00,,1.83E+00,,1.600000e+308,,1.600000e+308
150,,2.00E+00,,1.86E+00,,1.06E+04,,-3.20E+01
151,,1.96E+00,,1.85E+00,,1.12E+04,,-1.36E+01
152,,1.84E+00,,1.83E+00,,1.26E+04,,2.64E+01
153,,1.85E+00,,1.83E+00,,1.41E+04,,7.52E+01
154,,1.99E+00,,1.82E+00,,1.48E+04,,9.74E+01
155,,2.03E+00,,1.81E+00,,1.61E+04,,1.41E+02
156,,1.88E+00,,1.80E+00,,1.81E+04,,-1.61E+02
157,,1.91E+00,,1.78E+00,,1.96E+04,,-1.15E+02
158,,1.99E+00,,1.77E+00,,2.09E+04,,-6.73E+01
159,,2.16E+00,,1.76E+00,,2.16E+04,,-4.57E+01
160,,2.15E+00,,1.76E+00,,2.29E+04,,-7.04E+00
161,,2.10E+00,,1.76E+00,,2.44E+04,,3.50E+01
162,,2.04E+00,,1.75E+00,,2.51E+04,,5.44E+01
163,,2.07E+00,,1.73E+00,,2.65E+04,,9.74E+01
164,,2.02E+00,,1.72E+00,,2.78E+04,,1.39E+02
165,,1.85E+00,,1.70E+00,,2.92E+04,,1.80E+02
166,,1.85E+00,,1.68E+00,,3.06E+04,,-1.35E+02
167,,2.06E+00,,1.66E+00,,3.20E+04,,-8.50E+01
168,,2.20E+00,,1.65E+00,,3.34E+04,,-4.04E+01
169,,2.08E+00,,1.64E+00,,3.47E+04,,-2.38E+00
170,,1.90E+00,,1.64E+00,,3.61E+04,,3.63E+01
171,,1.90E+00,,1.64E+00,,3.75E+04,,8.65E+01
172,,2.02E+00,,1.62E+00,,3.82E+04,,1.09E+02
173,,2.11E+00,,1.61E+00,,3.95E+04,,1.55E+02
174,,2.04E+00,,1.60E+00,,4.09E+04,,-1.64E+02
175,,2.01E+00,,1.59E+00,,4.24E+04,,-1.18E+02
176,,2.16E+00,,1.56E+00,,4.37E+04,,-7.31E+01
177,,2.28E+00,,1.54E+00,,4.51E+04,,-2.75E+01
178,,2.26E+00,,1.53E+00,,4.64E+04,,1.25E+01
179,,2.11E+00,,1.52E+00,,4.78E+04,,5.04E+01
180,,2.05E+00,,1.52E+00,,4.92E+04,,9.66E+01
181,,1.99E+00,,1.52E+00,,4.99E+04,,1.18E+02
182,,2.01E+00,,1.51E+00,,5.13E+04,,1.66E+02
183,,2.10E+00,,1.49E+00,,5.26E+04,,-1.48E+02
184,,2.12E+00,,1.48E+00,,5.41E+04,,-9.81E+01
185,,2.04E+00,,1.47E+00,,5.54E+04,,-5.60E+01
186,,1.98E+00,,1.46E+00,,5.68E+04,,-1.24E+01
187,,2.12E+00,,1.43E+00,,5.82E+04,,3.52E+01
188,,2.32E+00,,1.40E+00,,5.96E+04,,8.91E+01
189,,2.34E+00,,1.38E+00,,6.10E+04,,1.32E+02
190,,2.17E+00,,1.39E+00,,6.23E+04,,1.71E+02
191,,2.03E+00,,1.38E+00,,6.36E+04,,-1.47E+02
192,,2.02E+00,,1.38E+00,,6.50E+04,,-9.90E+01
193,,2.08E+00,,1.37E+00,,6.58E+04,,-6.91E+01
194,,2.15E+00,,1.35E+00,,6.72E+04,,-2.04E+01
195,,2.26E+00,,1.33E+00,,6.85E+04,,2.74E+01
196,,2.38E+00,,1.29E+00,,6.99E+04,,7.38E+01
